species	mirfam
Alligator_mississippiensis	Mir-1287
Alligator_mississippiensis	Mir-3187
Bos_taurus	Mir-1287
Bos_taurus	Mir-1908
Bos_taurus	Mir-1912
Bos_taurus	Mir-3187
Bos_taurus	Mir-506
Bos_taurus	Mir-511
Bos_taurus	Mir-574
Bos_taurus	Mir-676
Bos_taurus	Mir-766
Branchiostoma_floridae	Mir-1287
Canis_lupus_familiaris	Mir-1247
Canis_lupus_familiaris	Mir-1287
Canis_lupus_familiaris	Mir-1908
Canis_lupus_familiaris	Mir-3187
Canis_lupus_familiaris	Mir-3200
Canis_lupus_familiaris	Mir-511
Canis_lupus_familiaris	Mir-541
Canis_lupus_familiaris	Mir-589
Canis_lupus_familiaris	Mir-760
Cavia_porcellus	Mir-1287
Cavia_porcellus	Mir-3187
Cavia_porcellus	Mir-488
Cavia_porcellus	Mir-544
Chrysemys_picta_bellii	Mir-3187
Columba_livia	Mir-1287
Columba_livia	Mir-3187
Dasypus_novemcinctus	Mir-1287
Dasypus_novemcinctus	Mir-1298
Dasypus_novemcinctus	Mir-1908
Dasypus_novemcinctus	Mir-3126
Dasypus_novemcinctus	Mir-769
Echinops_telfairi	Mir-105
Echinops_telfairi	Mir-1287
Echinops_telfairi	Mir-1908
Echinops_telfairi	Mir-2277
Echinops_telfairi	Mir-3187
Echinops_telfairi	Mir-337
Echinops_telfairi	Mir-488
Echinops_telfairi	Mir-542
Echinops_telfairi	Mir-766
Echinops_telfairi	Mir-769
Gallus_gallus	Mir-129
Gallus_gallus	Mir-132
Gallus_gallus	Mir-191
Gallus_gallus	Mir-3187
Gallus_gallus	Mir-425
Macaca_mulatta	Mir-1252
Macaca_mulatta	Mir-1266
Macaca_mulatta	Mir-1269
Macaca_mulatta	Mir-1276
Macaca_mulatta	Mir-1278
Macaca_mulatta	Mir-1286
Macaca_mulatta	Mir-1287
Macaca_mulatta	Mir-1294
Macaca_mulatta	Mir-1295
Macaca_mulatta	Mir-1908
Macaca_mulatta	Mir-1910
Macaca_mulatta	Mir-1912
Macaca_mulatta	Mir-1913
Macaca_mulatta	Mir-2116
Macaca_mulatta	Mir-2276
Macaca_mulatta	Mir-2277
Macaca_mulatta	Mir-2467
Macaca_mulatta	Mir-3126
Macaca_mulatta	Mir-3127
Macaca_mulatta	Mir-3136
Macaca_mulatta	Mir-3138
Macaca_mulatta	Mir-3174
Macaca_mulatta	Mir-3187
Macaca_mulatta	Mir-3194
Macaca_mulatta	Mir-3611
Macaca_mulatta	Mir-3619
Macaca_mulatta	Mir-3622
Macaca_mulatta	Mir-3663
Macaca_mulatta	Mir-3909
Macaca_mulatta	Mir-3924
Macaca_mulatta	Mir-3940
Macaca_mulatta	Mir-3942
Macaca_mulatta	Mir-3944
Macaca_mulatta	Mir-4424
Macaca_mulatta	Mir-4637
Macaca_mulatta	Mir-4661
Macaca_mulatta	Mir-4662
Macaca_mulatta	Mir-5000
Macaca_mulatta	Mir-5010
Macaca_mulatta	Mir-552
Macaca_mulatta	Mir-5579
Macaca_mulatta	Mir-5581
Macaca_mulatta	Mir-5586
Macaca_mulatta	Mir-561
Macaca_mulatta	Mir-5683
Macaca_mulatta	Mir-5687
Macaca_mulatta	Mir-580
Macaca_mulatta	Mir-616
Macaca_mulatta	Mir-629
Macaca_mulatta	Mir-6715
Macaca_mulatta	Mir-766
Macaca_mulatta	Mir-7854
Monodelphis_domestica	Mir-1287
Mus_musculus	Mir-1287
Mus_musculus	Mir-2355
Mus_musculus	Mir-876
Ornithorhynchus_anatinus	Mir-378
Ornithorhynchus_anatinus	Mir-592
Oryctolagus_cuniculus	Mir-1287
Rattus_norvegicus	Mir-1287
Rattus_norvegicus	Mir-2355
Rattus_norvegicus	Mir-3187
Rattus_norvegicus	Mir-574
Rattus_norvegicus	Mir-590
Rattus_norvegicus	Mir-876
Sarcophilus_harrisii	Mir-1287
Xenopus_tropicalis	Mir-1287
