,mirna,fam,count
0,Hsa-Mir-1343_pre,Mir-1343,4
1,Hsa-Mir-194-P2_pre,Mir-194,4
2,Hsa-Mir-127_pre,Mir-127,4
3,Hsa-Mir-154-P15_pre,Mir-154,2
4,Hsa-Mir-154-P30_pre,Mir-154,2
5,Hsa-Mir-448_pre,Mir-448,4
6,Hsa-Mir-1247_pre,Mir-1247,2
7,Hsa-Mir-154-P9_pre,Mir-154,2
8,Hsa-Let-7-P2c1_pre,Let-7,4
9,Hsa-Mir-15-P2d_pre,Mir-15,4
10,Hsa-Mir-430-P7_pre,Mir-430,4
11,Hsa-Mir-154-P17_pre,Mir-154,2
12,Hsa-Mir-186_pre,Mir-186,4
13,Hsa-Mir-3187_pre,Mir-3187,3
14,Hsa-Mir-30-P1b_pre,Mir-30,4
15,Hsa-Mir-130-P4a_pre,Mir-130,4
16,Hsa-Mir-550-P1_pre,Mir-550,4
17,Hsa-Mir-4677_pre,Mir-4677,0
18,Hsa-Mir-15-P1b_pre,Mir-15,4
19,Hsa-Mir-154-P7_pre,Mir-154,2
20,Hsa-Let-7-P2b2_pre,Let-7,4
21,Hsa-Mir-2115_pre,Mir-2115,2
22,Hsa-Mir-34-P1_pre,Mir-34,4
23,Hsa-Mir-188-P2_pre,Mir-188,4
24,Hsa-Mir-103-P3_pre,Mir-103,3
25,Hsa-Mir-7-P1_pre,Mir-7,4
26,Hsa-Mir-2277_pre,Mir-2277,4
27,Hsa-Mir-148-P1_pre,Mir-148,4
28,Hsa-Mir-3140_pre,Mir-3140,3
29,Hsa-Mir-506-P7c_pre,Mir-506,0
30,Hsa-Mir-15-P1a_pre,Mir-15,4
31,Hsa-Mir-92-P2a_pre,Mir-92,4
32,Hsa-Mir-935-v2_pre,Mir-935,4
33,Hsa-Mir-506-P10_pre,Mir-506,3
34,Hsa-Mir-221-P2_pre,Mir-221,3
35,Hsa-Mir-2467_pre,Mir-2467,4
36,Hsa-Mir-430-P20_pre,Mir-430,4
37,Hsa-Mir-430-P5_pre,Mir-430,4
38,Hsa-Mir-370_pre,Mir-370,2
39,Hsa-Mir-3924_pre,Mir-3924,3
40,Hsa-Mir-26-P3_pre,Mir-26,4
41,Hsa-Mir-95-P2_pre,Mir-95,3
42,Hsa-Mir-430-P9a_pre,Mir-430,0
43,Hsa-Mir-34-P2b_pre,Mir-34,1
44,Hsa-Mir-23-P1_pre,Mir-23,0
45,Hsa-Mir-95-P1_pre,Mir-95,4
46,Hsa-Mir-224_pre,Mir-224,3
47,Hsa-Mir-205-P1_pre,Mir-205,4
48,Hsa-Mir-296_pre,Mir-296,2
49,Hsa-Mir-325_pre,Mir-325,4
50,Hsa-Mir-430-P46_pre,Mir-430,0
51,Hsa-Mir-3944_pre,Mir-3944,3
52,Hsa-Mir-430-P28_pre,Mir-430,1
53,Hsa-Mir-5579_pre,Mir-5579,2
54,Hsa-Mir-582_pre,Mir-582,4
55,Hsa-Mir-134_pre,Mir-134,2
56,Hsa-Mir-3619_pre,Mir-3619,4
57,Hsa-Mir-199-P2-v1_pre,Mir-199,3
58,Hsa-Mir-489-v2_pre,Mir-489,4
59,Hsa-Mir-181-P1c_pre,Mir-181,0
60,Hsa-Mir-541_pre,Mir-541,2
61,Hsa-Mir-629_pre,Mir-629,4
62,Hsa-Mir-21_pre,Mir-21,3
63,Hsa-Mir-154-P18_pre,Mir-154,2
64,Hsa-Mir-15-P2c_pre,Mir-15,4
65,Hsa-Mir-4424_pre,Mir-4424,4
66,Hsa-Mir-550-P2_pre,Mir-550,0
67,Hsa-Mir-362-P2-v2_pre,Mir-362,4
68,Hsa-Let-7-P1a_pre,Let-7,2
69,Hsa-Mir-219-P2-as_pre,Mir-219,3
70,Hsa-Mir-181-P1a_pre,Mir-181,4
71,Hsa-Mir-452-v1_pre,Mir-452,3
72,Hsa-Mir-96-P1_pre,Mir-96,4
73,Hsa-Mir-154-P2-v2_pre,Mir-154,2
74,Hsa-Mir-133-P2-v1_pre,Mir-133,4
75,Hsa-Mir-430-P15c_pre,Mir-430,1
76,Hsa-Mir-142-v2_pre,Mir-142,4
77,Hsa-Mir-6529_pre,Mir-6529,4
78,Hsa-Mir-430-P2_pre,Mir-430,4
79,Hsa-Mir-5687_pre,Mir-5687,4
80,Hsa-Mir-28-P1_pre,Mir-28,4
81,Hsa-Mir-506-P6a1_pre,Mir-506,0
82,Hsa-Mir-376-P1_pre,Mir-376,1
83,Hsa-Mir-129-P2_pre,Mir-129,0
84,Hsa-Mir-430-P37a_pre,Mir-430,0
85,Hsa-Mir-17-P1c_pre,Mir-17,4
86,Hsa-Mir-430-P35_pre,Mir-430,2
87,Hsa-Mir-3174_pre,Mir-3174,4
88,Hsa-Mir-577_pre,Mir-577,4
89,Hsa-Mir-430-P21_pre,Mir-430,4
90,Hsa-Mir-137-P1-v1_pre,Mir-137,3
91,Hsa-Mir-3144-v1_pre,Mir-3144,2
92,Hsa-Mir-92-P1a_pre,Mir-92,4
93,Hsa-Mir-126-v3_pre,Mir-126,4
94,Hsa-Mir-194-P1_pre,Mir-194,3
95,Hsa-Mir-362-P4_pre,Mir-362,4
96,Hsa-Mir-154-P28a_pre,Mir-154,2
97,Hsa-Mir-191_pre,Mir-191,3
98,Hsa-Mir-34-P3b_pre,Mir-34,4
99,Hsa-Mir-154-P3a-v1_pre,Mir-154,2
100,Hsa-Mir-95-P4_pre,Mir-95,3
101,Hsa-Mir-154-P1_pre,Mir-154,2
102,Hsa-Mir-148-P2_pre,Mir-148,4
103,Hsa-Mir-204-P1_pre,Mir-204,4
104,Hsa-Mir-29-P2b-v2_pre,Mir-29,3
105,Hsa-Mir-561_pre,Mir-561,4
106,Hsa-Mir-486_pre,Mir-486,4
107,Hsa-Mir-504-v2_pre,Mir-504,3
108,Hsa-Mir-506-P11_pre,Mir-506,3
109,Hsa-Mir-324_pre,Mir-324,4
110,Hsa-Mir-4637_pre,Mir-4637,4
111,Hsa-Mir-430-P1_pre,Mir-430,4
112,Hsa-Mir-144_pre,Mir-144,4
113,Hsa-Mir-3622_pre,Mir-3622,1
114,Hsa-Let-7-P1c_pre,Let-7,4
115,Hsa-Mir-506-P2_pre,Mir-506,4
116,Hsa-Mir-190-P1_pre,Mir-190,4
117,Hsa-Mir-146-P1_pre,Mir-146,4
118,Hsa-Mir-129-P1_pre,Mir-129,4
119,Hsa-Mir-124-P1-v1_pre,Mir-124,0
120,Hsa-Mir-615_pre,Mir-615,1
121,Hsa-Mir-3200_pre,Mir-3200,4
122,Hsa-Mir-455_pre,Mir-455,4
123,Hsa-Mir-430-P37b_pre,Mir-430,4
124,Hsa-Mir-124-P3-v1_pre,Mir-124,3
125,Hsa-Mir-17-P3c_pre,Mir-17,4
126,Hsa-Mir-17-P1b_pre,Mir-17,4
127,Hsa-Mir-133-P1-v2_pre,Mir-133,3
128,Hsa-Mir-10-P1b-v2_pre,Mir-10,2
129,Hsa-Mir-5581_pre,Mir-5581,4
130,Hsa-Mir-2116_pre,Mir-2116,4
131,Hsa-Mir-221-P1_pre,Mir-221,3
132,Hsa-Mir-430-P43_pre,Mir-430,4
133,Hsa-Mir-542-v2_pre,Mir-542,4
134,Hsa-Mir-425_pre,Mir-425,3
135,Hsa-Mir-17-P2b_pre,Mir-17,4
136,Hsa-Mir-193-P2b_pre,Mir-193,4
137,Hsa-Mir-506-P5_pre,Mir-506,4
138,Hsa-Mir-430-P29_pre,Mir-430,3
139,Hsa-Mir-551-P2_pre,Mir-551,4
