taxid|organism_name|assembly_accession|intraspecific_name|status
9615|Canis lupus familiaris|GCF_000002285.5|Tasha|skipped
10029|Cricetulus griseus|GCF_000223135.1||skipped
1706337|Neophocaena asiaeorientalis asiaeorientalis|GCF_003031525.2||active
192404|Sturnira hondurensis|GCF_014824575.2|20B|active
9258|Ornithorhynchus anatinus|GCF_004115215.2|Pmale09|active
9261|Tachyglossus aculeatus|GCF_015852505.1|mTacAcu1|active
9305|Sarcophilus harrisii|GCF_902635505.1||active
9337|Trichosurus vulpecula|GCF_011100635.1|mTriVul1|active
9361|Dasypus novemcinctus|GCF_000208655.1|3-136|active
9365|Erinaceus europaeus|GCF_000296755.1|Erinaceus europaeus_13Jul2011|active
9371|Echinops telfairi|GCF_000313985.2|266|active
9402|Pteropus alecto|GCF_000325575.1||active
9407|Rousettus aegyptiacus|GCF_014176215.1|mRouAeg1|active
9417|Artibeus jamaicensis|GCF_014825515.1|1a|active
9430|Desmodus rotundus|GCF_002940915.1|DRU21DN04|active
9483|Callithrix jacchus|GCF_009663435.1||active
9515|Sapajus apella|GCF_009761245.1|SASKATOON/1434|active
9531|Cercocebus atys|GCF_000955945.1|FAK|active
9541|Macaca fascicularis|GCF_000364345.1||active
9544|Macaca mulatta|GCF_003339765.1|AG07107|active
9545|Macaca nemestrina|GCF_000956065.1|M95218|active
9555|Papio anubis|GCF_008728515.1|15944|active
9565|Theropithecus gelada|GCF_003255815.1|Dixy|active
9568|Mandrillus leucophaeus|GCF_000951045.1|KB7577|active
9595|Gorilla gorilla gorilla|GCF_008122165.1|Kamilah (stud number 0661)|active
9597|Pan paniscus|GCF_013052645.1|Mhudiblu (Carbone #601152)|active
9598|Pan troglodytes|GCF_002880755.1|Yerkes chimp pedigree #C0471 (Clint)|active
9601|Pongo abelii|GCF_002880775.1|Susie|active
9606|Homo sapiens|GCF_000001405.39||active
9615|Canis lupus familiaris|GCF_014441545.1|SID07034|active
9627|Vulpes vulpes|GCF_003160815.1||active
9646|Ailuropoda melanoleuca|GCF_002007445.1|Jingjing|active
9669|Mustela putorius furo|GCF_000215625.1|ID#1420|active
9685|Felis catus|GCF_000181335.3|Cinnamon|active
9691|Panthera pardus|GCF_001857705.1|Maewha|active
9696|Puma concolor|GCF_003327715.1|SC36_Marlon|active
9704|Zalophus californianus|GCF_009762305.2|mZalCal1|active
9708|Odobenus rosmarus divergens|GCF_000321225.1|Ivan|active
9711|Halichoerus grypus|GCF_012393455.1|241Hg|active
9713|Leptonychotes weddellii|GCF_000349705.1|WS11-02|active
9715|Mirounga leonina|GCF_011800145.1|KUSES-001|active
9720|Phoca vitulina|GCF_004348235.1|PV1807|active
9731|Globicephala melas|GCF_006547405.1|X-22926-18|active
9733|Orcinus orca|GCF_000331955.2|Morgan|active
