# Assembly name:  UCB_Xtro_10.0
# Organism name:  Xenopus tropicalis (tropical clawed frog)
# Infraspecific name:  strain=Nigerian
# Sex:  female
# Taxid:          8364
# BioSample:      SAMN13041969
# BioProject:     PRJNA577946
# Submitter:      University of California, Berkeley
# Date:           2019-11-14
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAMC04
# Assembly method: Supernova v. 1.1.5; Canu v. 1.6-132-gf9284f8; DBG2OLC v. commit 1f7e752; 3D-DNA v. commit 2796c3b; quickmerge v. commit e4ea490
# Expected final version: yes
# Genome coverage: 111.5x
# Sequencing technology: PacBio Sequel; Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000004195.4
# RefSeq assembly accession: GCF_000004195.4
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000004205.4	GCF_000004205.4	Primary Assembly
## 	GCF_000005075.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chr1	assembled-molecule	1	Chromosome	CM004443.2	=	NC_030677.2	Primary Assembly	217471166	na
Chr2	assembled-molecule	2	Chromosome	CM004444.2	=	NC_030678.2	Primary Assembly	181034961	na
Chr3	assembled-molecule	3	Chromosome	CM004445.2	=	NC_030679.2	Primary Assembly	153873357	na
Chr4	assembled-molecule	4	Chromosome	CM004446.2	=	NC_030680.2	Primary Assembly	153961319	na
Chr5	assembled-molecule	5	Chromosome	CM004447.2	=	NC_030681.2	Primary Assembly	164033575	na
Chr6	assembled-molecule	6	Chromosome	CM004448.2	=	NC_030682.2	Primary Assembly	154486312	na
Chr7	assembled-molecule	7	Chromosome	CM004449.2	=	NC_030683.2	Primary Assembly	133565930	na
Chr8	assembled-molecule	8	Chromosome	CM004450.2	=	NC_030684.2	Primary Assembly	147241510	na
Chr9	assembled-molecule	9	Chromosome	CM004451.2	=	NC_030685.2	Primary Assembly	91218944	na
Chr10	assembled-molecule	10	Chromosome	CM004452.2	=	NC_030686.2	Primary Assembly	52432566	na
Sca1	unplaced-scaffold	na	na	AAMC04000011.1	=	NW_022279347.1	Primary Assembly	82299	na
Sca2	unplaced-scaffold	na	na	AAMC04000012.1	=	NW_022279348.1	Primary Assembly	79987	na
Sca3	unplaced-scaffold	na	na	AAMC04000013.1	=	NW_022279349.1	Primary Assembly	65000	na
