# Assembly name:  Cavpor3.0
# Organism name:  Cavia porcellus (domestic guinea pig)
# Infraspecific name:  strain=inbred line 2N
# Sex:  female
# Taxid:          10141
# BioSample:      SAMN02981223
# BioProject:     PRJNA12583
# Submitter:      The Genome Sequencing Platform, The Genome Assembly Team
# Date:           2008-03-03
# Synonyms:       cavPor3	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AAKN02
# Assembly method: unknown v. before 2008
# Genome coverage: 6.8x
# Sequencing technology: Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000151735.1
# RefSeq assembly accession: GCF_000151735.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000151745.1	GCF_000151745.1	Primary Assembly
## 	GCF_000027635.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
supercont2_0	unplaced-scaffold	na	na	DS562855.1	=	NT_176419.1	Primary Assembly	88675666	scaffold_0
supercont2_1	unplaced-scaffold	na	na	DS562856.1	=	NT_176418.1	Primary Assembly	81131790	scaffold_1
supercont2_2	unplaced-scaffold	na	na	DS562857.1	=	NT_176417.1	Primary Assembly	78381119	scaffold_2
supercont2_3	unplaced-scaffold	na	na	DS562858.1	=	NT_176416.1	Primary Assembly	75551126	scaffold_3
supercont2_4	unplaced-scaffold	na	na	DS562859.1	=	NT_176415.1	Primary Assembly	61496919	scaffold_4
supercont2_5	unplaced-scaffold	na	na	DS562860.1	=	NT_176414.1	Primary Assembly	61868410	scaffold_5
supercont2_6	unplaced-scaffold	na	na	DS562861.1	=	NT_176413.1	Primary Assembly	61187194	scaffold_6
supercont2_7	unplaced-scaffold	na	na	DS562862.1	=	NT_176412.1	Primary Assembly	61004451	scaffold_7
supercont2_8	unplaced-scaffold	na	na	DS562863.1	=	NT_176411.1	Primary Assembly	60673567	scaffold_8
supercont2_9	unplaced-scaffold	na	na	DS562864.1	=	NT_176410.1	Primary Assembly	59225736	scaffold_9
supercont2_10	unplaced-scaffold	na	na	DS562865.1	=	NT_176409.1	Primary Assembly	50759066	scaffold_10
supercont2_11	unplaced-scaffold	na	na	DS562866.1	=	NT_176408.1	Primary Assembly	50790421	scaffold_11
supercont2_12	unplaced-scaffold	na	na	DS562867.1	=	NT_176407.1	Primary Assembly	50742376	scaffold_12
supercont2_13	unplaced-scaffold	na	na	DS562868.1	=	NT_176406.1	Primary Assembly	48363610	scaffold_13
supercont2_14	unplaced-scaffold	na	na	DS562869.1	=	NT_176405.1	Primary Assembly	43247874	scaffold_14
supercont2_15	unplaced-scaffold	na	na	DS562870.1	=	NT_176404.1	Primary Assembly	41762041	scaffold_15
supercont2_16	unplaced-scaffold	na	na	DS562871.1	=	NT_176403.1	Primary Assembly	41527808	scaffold_16
supercont2_17	unplaced-scaffold	na	na	DS562872.1	=	NT_176402.1	Primary Assembly	40167016	scaffold_17
supercont2_18	unplaced-scaffold	na	na	DS562873.1	=	NT_176401.1	Primary Assembly	39996202	scaffold_18
supercont2_19	unplaced-scaffold	na	na	DS562874.1	=	NT_176400.1	Primary Assembly	37078832	scaffold_19
supercont2_20	unplaced-scaffold	na	na	DS562875.1	=	NT_176399.1	Primary Assembly	34170112	scaffold_20
supercont2_21	unplaced-scaffold	na	na	DS562876.1	=	NT_176398.1	Primary Assembly	33939536	scaffold_21
supercont2_22	unplaced-scaffold	na	na	DS562877.1	=	NT_176397.1	Primary Assembly	33695408	scaffold_22
supercont2_23	unplaced-scaffold	na	na	DS562878.1	=	NT_176396.1	Primary Assembly	32209358	scaffold_23
supercont2_24	unplaced-scaffold	na	na	DS562879.1	=	NT_176395.1	Primary Assembly	32236052	scaffold_24
supercont2_25	unplaced-scaffold	na	na	DS562880.1	=	NT_176394.1	Primary Assembly	28222655	scaffold_25
supercont2_26	unplaced-scaffold	na	na	DS562881.1	=	NT_176393.1	Primary Assembly	28734338	scaffold_26
supercont2_27	unplaced-scaffold	na	na	DS562882.1	=	NT_176392.1	Primary Assembly	27942054	scaffold_27
supercont2_28	unplaced-scaffold	na	na	DS562883.1	=	NT_176391.1	Primary Assembly	27731667	scaffold_28
supercont2_29	unplaced-scaffold	na	na	DS562884.1	=	NT_176390.1	Primary Assembly	26790417	scaffold_29
supercont2_30	unplaced-scaffold	na	na	DS562885.1	=	NT_176389.1	Primary Assembly	25888900	scaffold_30
supercont2_31	unplaced-scaffold	na	na	DS562886.1	=	NT_176388.1	Primary Assembly	25503776	scaffold_31
supercont2_32	unplaced-scaffold	na	na	DS562887.1	=	NT_176387.1	Primary Assembly	25641242	scaffold_32
supercont2_33	unplaced-scaffold	na	na	DS562888.1	=	NT_176386.1	Primary Assembly	25029222	scaffold_33
supercont2_34	unplaced-scaffold	na	na	DS562889.1	=	NT_176385.1	Primary Assembly	24440124	scaffold_34
supercont2_35	unplaced-scaffold	na	na	DS562890.1	=	NT_176384.1	Primary Assembly	23989115	scaffold_35
supercont2_36	unplaced-scaffold	na	na	DS562891.1	=	NT_176383.1	Primary Assembly	23407841	scaffold_36
supercont2_37	unplaced-scaffold	na	na	DS562892.1	=	NT_176382.1	Primary Assembly	22756556	scaffold_37
supercont2_38	unplaced-scaffold	na	na	DS562893.1	=	NT_176381.1	Primary Assembly	21505965	scaffold_38
supercont2_39	unplaced-scaffold	na	na	DS562894.1	=	NT_176380.1	Primary Assembly	19227914	scaffold_39
supercont2_40	unplaced-scaffold	na	na	DS562895.1	=	NT_176379.1	Primary Assembly	18715152	scaffold_40
supercont2_41	unplaced-scaffold	na	na	DS562896.1	=	NT_176378.1	Primary Assembly	16993173	scaffold_41
supercont2_42	unplaced-scaffold	na	na	DS562897.1	=	NT_176377.1	Primary Assembly	15951348	scaffold_42
supercont2_43	unplaced-scaffold	na	na	DS562898.1	=	NT_176376.1	Primary Assembly	15880283	scaffold_43
supercont2_44	unplaced-scaffold	na	na	DS562899.1	=	NT_176375.1	Primary Assembly	15920349	scaffold_44
supercont2_45	unplaced-scaffold	na	na	DS562900.1	=	NT_176374.1	Primary Assembly	15715546	scaffold_45
supercont2_46	unplaced-scaffold	na	na	DS562901.1	=	NT_176373.1	Primary Assembly	15610479	scaffold_46
supercont2_47	unplaced-scaffold	na	na	DS562902.1	=	NT_176372.1	Primary Assembly	14658396	scaffold_47
supercont2_48	unplaced-scaffold	na	na	DS562903.1	=	NT_176371.1	Primary Assembly	14411824	scaffold_48
supercont2_49	unplaced-scaffold	na	na	DS562904.1	=	NT_176370.1	Primary Assembly	14016002	scaffold_49
supercont2_50	unplaced-scaffold	na	na	DS562905.1	=	NT_176369.1	Primary Assembly	13552627	scaffold_50
supercont2_51	unplaced-scaffold	na	na	DS562906.1	=	NT_176368.1	Primary Assembly	13068355	scaffold_51
supercont2_52	unplaced-scaffold	na	na	DS562907.1	=	NT_176367.1	Primary Assembly	13222263	scaffold_52
supercont2_53	unplaced-scaffold	na	na	DS562908.1	=	NT_176366.1	Primary Assembly	12971536	scaffold_53
supercont2_54	unplaced-scaffold	na	na	DS562909.1	=	NT_176365.1	Primary Assembly	12849792	scaffold_54
supercont2_55	unplaced-scaffold	na	na	DS562910.1	=	NT_176364.1	Primary Assembly	12425839	scaffold_55
supercont2_56	unplaced-scaffold	na	na	DS562911.1	=	NT_176363.1	Primary Assembly	11989055	scaffold_56
supercont2_57	unplaced-scaffold	na	na	DS562912.1	=	NT_176362.1	Primary Assembly	11496238	scaffold_57
supercont2_58	unplaced-scaffold	na	na	DS562913.1	=	NT_176361.1	Primary Assembly	11198453	scaffold_58
supercont2_59	unplaced-scaffold	na	na	DS562914.1	=	NT_176360.1	Primary Assembly	10997216	scaffold_59
