# Assembly name:  mOrnAna1.pri.v4
# Organism name:  Ornithorhynchus anatinus (platypus)
# Isolate:  Pmale09
# Sex:  male
# Taxid:          9258
# BioSample:      SAMN08537700
# BioProject:     PRJNA489114
# Submitter:      Vertebrate Genomes Project
# Date:           2020-11-06
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RZJT02
# Assembly method: FALCON v. 5.1.1; FALCON Unzip v. 1.0.2; purge_haplotigs v. bit 7.10.2018; scaff10X v. git 4.28.2018; Bionano Solve DLS v. 3.2.1; Salsa2 HiC v. 2.0; smrtanalysis Arrow polishing & gap fillingt v. 5.1.0.26412; longranger align v. 2.2.2; freebayes v. 1.2.0; gEVAL manual curation v. 2019-12-06
# Expected final version: no
# Genome coverage: 58.8x
# Sequencing technology: PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Dovetail Genomics HiC; Arima Genomics
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004115215.4
# RefSeq assembly accession: GCF_004115215.2
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_008822115.3 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004115275.3	GCF_004115275.2	Primary Assembly
## GCA_005475405.2	GCF_000184245.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Super_Scaffold_1	assembled-molecule	1	Chromosome	CM014200.1	=	NC_041728.1	Primary Assembly	186506016	na
Super_Scaffold_2	assembled-molecule	2	Chromosome	CM014201.1	=	NC_041729.1	Primary Assembly	171719663	na
Super_Scaffold_3	assembled-molecule	3	Chromosome	CM014202.1	=	NC_041730.1	Primary Assembly	141987082	na
Super_Scaffold_4	assembled-molecule	4	Chromosome	CM014203.1	=	NC_041731.1	Primary Assembly	136094389	na
Super_Scaffold_5	assembled-molecule	5	Chromosome	CM014204.1	=	NC_041732.1	Primary Assembly	110293030	na
Super_Scaffold_6	assembled-molecule	6	Chromosome	CM014205.1	=	NC_041733.1	Primary Assembly	51493492	na
Super_Scaffold_7	assembled-molecule	7	Chromosome	CM014206.1	=	NC_041734.1	Primary Assembly	83338043	na
Super_Scaffold_8	assembled-molecule	8	Chromosome	CM014207.1	=	NC_041735.1	Primary Assembly	70949814	na
Super_Scaffold_9	assembled-molecule	9	Chromosome	CM014208.1	=	NC_041736.1	Primary Assembly	61861223	na
Super_Scaffold_10	assembled-molecule	10	Chromosome	CM014209.1	=	NC_041737.1	Primary Assembly	59444696	na
Super_Scaffold_11	assembled-molecule	11	Chromosome	CM014210.1	=	NC_041738.1	Primary Assembly	63506031	na
Super_Scaffold_12	assembled-molecule	12	Chromosome	CM014211.1	=	NC_041739.1	Primary Assembly	60456049	na
Super_Scaffold_13	assembled-molecule	13	Chromosome	CM014212.1	=	NC_041740.1	Primary Assembly	42294642	na
Super_Scaffold_14	assembled-molecule	14	Chromosome	CM014213.1	=	NC_041741.1	Primary Assembly	52889406	na
Super_Scaffold_15	assembled-molecule	15	Chromosome	CM014214.1	=	NC_041742.1	Primary Assembly	26375019	na
Super_Scaffold_16	assembled-molecule	16	Chromosome	CM014215.1	=	NC_041743.1	Primary Assembly	46397275	na
Super_Scaffold_17	assembled-molecule	17	Chromosome	CM014216.1	=	NC_041744.1	Primary Assembly	45536670	na
Super_Scaffold_18	assembled-molecule	18	Chromosome	CM014217.1	=	NC_041745.1	Primary Assembly	44684501	na
Super_Scaffold_19	assembled-molecule	19	Chromosome	CM014218.1	=	NC_041746.1	Primary Assembly	35120541	na
Super_Scaffold_20	assembled-molecule	20	Chromosome	CM014219.1	=	NC_041747.1	Primary Assembly	30535534	na
Super_Scaffold_21	assembled-molecule	21	Chromosome	CM014220.1	=	NC_041748.1	Primary Assembly	24514859	na
Super_Scaffold_X1	assembled-molecule	X1	Chromosome	CM014221.1	=	NC_041749.1	Primary Assembly	125040914	na
Super_Scaffold_X2	assembled-molecule	X2	Chromosome	CM014222.1	=	NC_041750.1	Primary Assembly	29662106	na
Super_Scaffold_X3	assembled-molecule	X3	Chromosome	CM014223.1	=	NC_041751.1	Primary Assembly	33863336	na
Super_Scaffold_X4	assembled-molecule	X4	Chromosome	CM014224.1	=	NC_041752.1	Primary Assembly	8639456	na
Super_Scaffold_X5	assembled-molecule	X5	Chromosome	CM014225.1	=	NC_041753.1	Primary Assembly	70139320	na
Super_Scaffold_Y1	assembled-molecule	Y1	Chromosome	CM022557.1	=	NC_053175.1	Primary Assembly	1234000	na
Super_Scaffold_Y2	assembled-molecule	Y2	Chromosome	CM026824.1	=	NC_053176.1	Primary Assembly	4600510	na
Super_Scaffold_Y3	assembled-molecule	Y3	Chromosome	CM026825.1	=	NC_053177.1	Primary Assembly	2467712	na
Super_Scaffold_Y4	assembled-molecule	Y4	Chromosome	CM022558.1	=	NC_053178.1	Primary Assembly	1018000	na
scaffold_181_arrow_ctg1	assembled-molecule	Y5	Chromosome	CM026826.1	=	NC_053179.1	Primary Assembly	2211240	na
scaffold_167_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000029.1	=	NW_024396657.1	Primary Assembly	28497	na
scaffold_257_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000030.1	=	NW_024396658.1	Primary Assembly	26225	na
scaffold_285_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000031.1	=	NW_024396660.1	Primary Assembly	61411	na
scaffold_531_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000032.1	=	NW_024396664.1	Primary Assembly	44937	na
scaffold_672_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000033.1	=	NW_024396666.1	Primary Assembly	158545	na
scaffold_128_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000294.1	=	NW_024396656.1	Primary Assembly	20317	na
scaffold_267_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000298.1	=	NW_024396659.1	Primary Assembly	28728	na
scaffold_330_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000301.1	=	NW_024396661.1	Primary Assembly	20243	na
scaffold_395_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000302.1	=	NW_024396662.1	Primary Assembly	54339	na
scaffold_499_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000305.1	=	NW_024396663.1	Primary Assembly	14484	na
scaffold_622_arrow_ctg1	unlocalized-scaffold	Y2	Chromosome	RZJT02000311.1	=	NW_024396665.1	Primary Assembly	109076	na
scaffold_233_arrow_ctg1_1	unlocalized-scaffold	Y3	Chromosome	RZJT02000035.1	=	NW_024396667.1	Primary Assembly	294604	na
scaffold_32_arrow_ctg1	unlocalized-scaffold	Y3	Chromosome	RZJT02000037.1	=	NW_024396668.1	Primary Assembly	77965	na
scaffold_538_arrow_ctg1	unlocalized-scaffold	Y3	Chromosome	RZJT02000038.1	=	NW_024396669.1	Primary Assembly	21537	na
Super_Scaffold_Y5	unlocalized-scaffold	Y5	Chromosome	RZJT02000041.1	=	NW_024396670.1	Primary Assembly	578393	na
scaffold_229_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000034.1	=	NW_024396727.1	Primary Assembly	108975	na
scaffold_269_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000036.1	=	NW_024396744.1	Primary Assembly	45778	na
scaffold_105_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000042.1	=	NW_024396672.1	Primary Assembly	22077	na
scaffold_10_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000043.1	=	NW_024396674.1	Primary Assembly	21560	na
scaffold_110_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000044.1	=	NW_024396675.1	Primary Assembly	54713	na
scaffold_111_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000045.1	=	NW_024396676.1	Primary Assembly	29734	na
scaffold_120_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000046.1	=	NW_024396678.1	Primary Assembly	47469	na
scaffold_121_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000047.1	=	NW_024396679.1	Primary Assembly	54403	na
scaffold_133_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000048.1	=	NW_024396681.1	Primary Assembly	20825	na
scaffold_138_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000049.1	=	NW_024396684.1	Primary Assembly	45456	na
scaffold_139_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000050.1	=	NW_024396685.1	Primary Assembly	26726	na
scaffold_142_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000051.1	=	NW_024396687.1	Primary Assembly	23939	na
scaffold_14_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000052.1	=	NW_024396690.1	Primary Assembly	27293	na
scaffold_153_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000053.1	=	NW_024396692.1	Primary Assembly	28511	na
scaffold_155_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000054.1	=	NW_024396693.1	Primary Assembly	22156	na
scaffold_157_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000055.1	=	NW_024396694.1	Primary Assembly	33195	na
scaffold_166_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000056.1	=	NW_024396700.1	Primary Assembly	33743	na
scaffold_170_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000057.1	=	NW_024396701.1	Primary Assembly	58652	na
scaffold_175_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000058.1	=	NW_024396702.1	Primary Assembly	1280758	na
scaffold_177_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000059.1	=	NW_024396703.1	Primary Assembly	101532	na
scaffold_178_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000060.1	=	NW_024396704.1	Primary Assembly	53461	na
scaffold_189_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000062.1	=	NW_024396707.1	Primary Assembly	49779	na
scaffold_193_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000063.1	=	NW_024396708.1	Primary Assembly	33454	na
scaffold_198_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000064.1	=	NW_024396709.1	Primary Assembly	23557	na
scaffold_199_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000065.1	=	NW_024396710.1	Primary Assembly	25347	na
scaffold_201_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000066.1	=	NW_024396712.1	Primary Assembly	23903	na
scaffold_204_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000067.1	=	NW_024396714.1	Primary Assembly	23505	na
scaffold_206_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000068.1	=	NW_024396716.1	Primary Assembly	24111	na
scaffold_208_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000069.1	=	NW_024396718.1	Primary Assembly	32967	na
scaffold_210_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000070.1	=	NW_024396719.1	Primary Assembly	75347	na
scaffold_218_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000071.1	=	NW_024396721.1	Primary Assembly	92095	na
scaffold_219_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000072.1	=	NW_024396722.1	Primary Assembly	27015	na
scaffold_222_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000073.1	=	NW_024396723.1	Primary Assembly	33590	na
scaffold_224_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000074.1	=	NW_024396724.1	Primary Assembly	1737721	na
scaffold_225_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000075.1	=	NW_024396725.1	Primary Assembly	883485	na
scaffold_226_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000076.1	=	NW_024396726.1	Primary Assembly	49974	na
scaffold_22_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000077.1	=	NW_024396728.1	Primary Assembly	66691	na
scaffold_232_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000078.1	=	NW_024396729.1	Primary Assembly	95495	na
scaffold_233_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000079.1	=	NW_024396730.1	Primary Assembly	625818	na
scaffold_243_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000080.1	=	NW_024396734.1	Primary Assembly	28236	na
scaffold_244_arrow_ctg1	unplaced-scaffold	na	na	RZJT02000081.1	=	NW_024396735.1	Primary Assembly	40268	na
