# Assembly name:  MonDom5
# Organism name:  Monodelphis domestica (gray short-tailed opossum)
# Taxid:          13616
# BioSample:      SAMN02953611
# BioProject:     PRJNA12561
# Submitter:      The Genome Sequencing Platform, The Genome Assembly Team
# Date:           2007-01-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAFR03
# RefSeq category: Representative Genome
# RefSeq assembly accession: GCF_000002295.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## 	GCF_000000155.1	Primary Assembly
## 	GCF_000184265.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	na	<>	NC_008801.1	Primary Assembly	748055161	na
2	assembled-molecule	2	Chromosome	na	<>	NC_008802.1	Primary Assembly	541556283	na
3	assembled-molecule	3	Chromosome	na	<>	NC_008803.1	Primary Assembly	527952102	na
4	assembled-molecule	4	Chromosome	na	<>	NC_008804.1	Primary Assembly	435153693	na
5	assembled-molecule	5	Chromosome	na	<>	NC_008805.1	Primary Assembly	304825324	na
6	assembled-molecule	6	Chromosome	na	<>	NC_008806.1	Primary Assembly	292091736	na
7	assembled-molecule	7	Chromosome	na	<>	NC_008807.1	Primary Assembly	260857928	na
8	assembled-molecule	8	Chromosome	na	<>	NC_008808.1	Primary Assembly	312544902	na
X	assembled-molecule	X	Chromosome	na	<>	NC_008809.1	Primary Assembly	79335909	na
chrUn_v05.000812	unplaced-scaffold	na	na	na	<>	NW_001582024.1	Primary Assembly	15315	na
chrUn_v05.000813	unplaced-scaffold	na	na	na	<>	NW_001582025.1	Primary Assembly	16947	na
chrUn_v05.000814	unplaced-scaffold	na	na	na	<>	NW_001582026.1	Primary Assembly	15278	na
chrUn_v05.000815	unplaced-scaffold	na	na	na	<>	NW_001582027.1	Primary Assembly	15410	na
chrUn_v05.000816	unplaced-scaffold	na	na	na	<>	NW_001582028.1	Primary Assembly	15272	na
chrUn_v05.000817	unplaced-scaffold	na	na	na	<>	NW_001582029.1	Primary Assembly	15444	na
chrUn_v05.000818	unplaced-scaffold	na	na	na	<>	NW_001582030.1	Primary Assembly	15242	na
chrUn_v05.000819	unplaced-scaffold	na	na	na	<>	NW_001582031.1	Primary Assembly	15223	na
chrUn_v05.000820	unplaced-scaffold	na	na	na	<>	NW_001582032.1	Primary Assembly	16655	na
chrUn_v05.000821	unplaced-scaffold	na	na	na	<>	NW_001582033.1	Primary Assembly	15189	na
chrUn_v05.000822	unplaced-scaffold	na	na	na	<>	NW_001582034.1	Primary Assembly	15182	na
chrUn_v05.000823	unplaced-scaffold	na	na	na	<>	NW_001582035.1	Primary Assembly	21511	na
chrUn_v05.000824	unplaced-scaffold	na	na	na	<>	NW_001582036.1	Primary Assembly	15544	na
chrUn_v05.000825	unplaced-scaffold	na	na	na	<>	NW_001582037.1	Primary Assembly	15300	na
chrUn_v05.000826	unplaced-scaffold	na	na	na	<>	NW_001582038.1	Primary Assembly	15120	na
chrUn_v05.000827	unplaced-scaffold	na	na	na	<>	NW_001582039.1	Primary Assembly	15111	na
chrUn_v05.000828	unplaced-scaffold	na	na	na	<>	NW_001582040.1	Primary Assembly	15098	na
chrUn_v05.000829	unplaced-scaffold	na	na	na	<>	NW_001582041.1	Primary Assembly	15097	na
chrUn_v05.000830	unplaced-scaffold	na	na	na	<>	NW_001582042.1	Primary Assembly	15079	na
chrUn_v05.000831	unplaced-scaffold	na	na	na	<>	NW_001582043.1	Primary Assembly	15061	na
chrUn_v05.000832	unplaced-scaffold	na	na	na	<>	NW_001582044.1	Primary Assembly	15049	na
