# Assembly name:  ROS_Cfam_1.0
# Organism name:  Canis lupus familiaris (dog)
# Infraspecific name:  breed=Labrador retriever
# Isolate:  SID07034
# Sex:  male
# Taxid:          9615
# BioSample:      SAMN14478636
# BioProject:     PRJNA615959
# Submitter:      The Roslin Institute
# Date:           2020-09-03
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAUVH01
# Assembly method: nuclear: FALCON-Unzip v. 1.2.4; Bionano Solve v. 3.3; Dovetail HiRise v. 2.1.6-072ca03871cc; Racon v. 1.3.2; PBJelly v. PBSuite 15.8.24; mito: Flye v. 2.7b-b1526
# Expected final version: yes
# Genome coverage: 56.5x
# Sequencing technology: PacBio Sequel; Illumina
# GenBank assembly accession: GCA_014441545.1
# RefSeq assembly accession: GCF_014441545.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014441875.1	GCF_014441875.1	Primary Assembly
## GCA_014441925.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM025100.1	=	NC_051805.1	Primary Assembly	123313939	na
2	assembled-molecule	2	Chromosome	CM025101.1	=	NC_051806.1	Primary Assembly	86187811	na
3	assembled-molecule	3	Chromosome	CM025102.1	=	NC_051807.1	Primary Assembly	92870237	na
4	assembled-molecule	4	Chromosome	CM025103.1	=	NC_051808.1	Primary Assembly	89007665	na
5	assembled-molecule	5	Chromosome	CM025104.1	=	NC_051809.1	Primary Assembly	89573405	na
6	assembled-molecule	6	Chromosome	CM025105.1	=	NC_051810.1	Primary Assembly	78268176	na
7	assembled-molecule	7	Chromosome	CM025106.1	=	NC_051811.1	Primary Assembly	81039452	na
8	assembled-molecule	8	Chromosome	CM025107.1	=	NC_051812.1	Primary Assembly	75260524	na
9	assembled-molecule	9	Chromosome	CM025108.1	=	NC_051813.1	Primary Assembly	62002293	na
10	assembled-molecule	10	Chromosome	CM025109.1	=	NC_051814.1	Primary Assembly	70361000	na
11	assembled-molecule	11	Chromosome	CM025110.1	=	NC_051815.1	Primary Assembly	75541347	na
12	assembled-molecule	12	Chromosome	CM025111.1	=	NC_051816.1	Primary Assembly	73497294	na
13	assembled-molecule	13	Chromosome	CM025112.1	=	NC_051817.1	Primary Assembly	64037277	na
14	assembled-molecule	14	Chromosome	CM025113.1	=	NC_051818.1	Primary Assembly	61043064	na
15	assembled-molecule	15	Chromosome	CM025114.1	=	NC_051819.1	Primary Assembly	65200600	na
16	assembled-molecule	16	Chromosome	CM025115.1	=	NC_051820.1	Primary Assembly	62021213	na
17	assembled-molecule	17	Chromosome	CM025116.1	=	NC_051821.1	Primary Assembly	65471548	na
18	assembled-molecule	18	Chromosome	CM025117.1	=	NC_051822.1	Primary Assembly	56883407	na
19	assembled-molecule	19	Chromosome	CM025118.1	=	NC_051823.1	Primary Assembly	55265241	na
20	assembled-molecule	20	Chromosome	CM025119.1	=	NC_051824.1	Primary Assembly	58896461	na
21	assembled-molecule	21	Chromosome	CM025120.1	=	NC_051825.1	Primary Assembly	52140716	na
22	assembled-molecule	22	Chromosome	CM025121.1	=	NC_051826.1	Primary Assembly	62106979	na
23	assembled-molecule	23	Chromosome	CM025122.1	=	NC_051827.1	Primary Assembly	53282923	na
24	assembled-molecule	24	Chromosome	CM025123.1	=	NC_051828.1	Primary Assembly	48838997	na
25	assembled-molecule	25	Chromosome	CM025124.1	=	NC_051829.1	Primary Assembly	51941001	na
26	assembled-molecule	26	Chromosome	CM025125.1	=	NC_051830.1	Primary Assembly	40674351	na
27	assembled-molecule	27	Chromosome	CM025126.1	=	NC_051831.1	Primary Assembly	46248802	na
28	assembled-molecule	28	Chromosome	CM025127.1	=	NC_051832.1	Primary Assembly	41862212	na
29	assembled-molecule	29	Chromosome	CM025128.1	=	NC_051833.1	Primary Assembly	42049852	na
30	assembled-molecule	30	Chromosome	CM025129.1	=	NC_051834.1	Primary Assembly	40414903	na
31	assembled-molecule	31	Chromosome	CM025130.1	=	NC_051835.1	Primary Assembly	39518933	na
32	assembled-molecule	32	Chromosome	CM025131.1	=	NC_051836.1	Primary Assembly	39023732	na
33	assembled-molecule	33	Chromosome	CM025132.1	=	NC_051837.1	Primary Assembly	31649084	na
34	assembled-molecule	34	Chromosome	CM025133.1	=	NC_051838.1	Primary Assembly	42263871	na
35	assembled-molecule	35	Chromosome	CM025134.1	=	NC_051839.1	Primary Assembly	26942268	na
36	assembled-molecule	36	Chromosome	CM025135.1	=	NC_051840.1	Primary Assembly	31065185	na
37	assembled-molecule	37	Chromosome	CM025136.1	=	NC_051841.1	Primary Assembly	30932408	na
38	assembled-molecule	38	Chromosome	CM025137.1	=	NC_051842.1	Primary Assembly	24102048	na
X	assembled-molecule	X	Chromosome	CM025138.1	=	NC_051843.1	Primary Assembly	127069619	na
Scaffold_70;HRSCAF=76_pilon	assembled-molecule	Y	Chromosome	CM025139.1	=	NC_051844.1	Primary Assembly	3937623	na
Scaffold_34;HRSCAF=38_pilon	unlocalized-scaffold	Y	Chromosome	JAAUVH010000259.1	=	NW_024010443.1	Primary Assembly	1569522	na
Scaffold_38;HRSCAF=42_pilon	unlocalized-scaffold	Y	Chromosome	JAAUVH010000289.1	=	NW_024010444.1	Primary Assembly	1221461	na
Scaffold_100;HRSCAF=106_pilon	unplaced-scaffold	na	na	JAAUVH010000001.1	=	NW_024010445.1	Primary Assembly	7364	na
Scaffold_101;HRSCAF=107_pilon	unplaced-scaffold	na	na	JAAUVH010000002.1	=	NW_024010446.1	Primary Assembly	80041	na
Scaffold_102;HRSCAF=108_pilon	unplaced-scaffold	na	na	JAAUVH010000003.1	=	NW_024010447.1	Primary Assembly	221922	na
Scaffold_103;HRSCAF=109_pilon	unplaced-scaffold	na	na	JAAUVH010000004.1	=	NW_024010448.1	Primary Assembly	51874	na
Scaffold_104;HRSCAF=110_pilon	unplaced-scaffold	na	na	JAAUVH010000005.1	=	NW_024010449.1	Primary Assembly	141329	na
Scaffold_105;HRSCAF=111_pilon	unplaced-scaffold	na	na	JAAUVH010000006.1	=	NW_024010450.1	Primary Assembly	105090	na
Scaffold_106;HRSCAF=112_pilon	unplaced-scaffold	na	na	JAAUVH010000007.1	=	NW_024010451.1	Primary Assembly	149672	na
