# Assembly name:  mSarHar1.11
# Organism name:  Sarcophilus harrisii (Tasmanian devil)
# Taxid:          9305
# BioSample:      SAMEA6099886
# BioProject:     PRJEB35073
# Submitter:      SC
# Date:           2019-11-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CACPPN01
# Genome coverage: 88x
# GenBank assembly accession: GCA_902635505.1
# RefSeq assembly accession: GCF_902635505.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902635504.1	GCF_902635504.1	Primary Assembly
## 	GCF_009769365.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Super_scaffold_1	assembled-molecule	1	Chromosome	LR735554.1	=	NC_045426.1	Primary Assembly	716413629	na
Super_scaffold_2	assembled-molecule	2	Chromosome	LR735555.1	=	NC_045427.1	Primary Assembly	662751787	na
Super_scaffold_3	assembled-molecule	3	Chromosome	LR735556.1	=	NC_045428.1	Primary Assembly	611347268	na
Super_scaffold_4	assembled-molecule	4	Chromosome	LR735557.1	=	NC_045429.1	Primary Assembly	464895054	na
Super_scaffold_5	assembled-molecule	5	Chromosome	LR735558.1	=	NC_045430.1	Primary Assembly	288121652	na
Super_scaffold_6	assembled-molecule	6	Chromosome	LR735559.1	=	NC_045431.1	Primary Assembly	254895979	na
Super_scaffold_7	assembled-molecule	X	Chromosome	LR735560.1	=	NC_045432.1	Primary Assembly	83081154	na
Super_scaffold_8	assembled-molecule	Y	Chromosome	LR735561.1	=	NC_045433.1	Primary Assembly	130564	na
contig1	unplaced-scaffold	na	na	CACPPN010000001.1	=	NW_022290855.1	Primary Assembly	16627	na
contig2	unplaced-scaffold	na	na	CACPPN010000002.1	=	NW_022290856.1	Primary Assembly	26184	na
contig3	unplaced-scaffold	na	na	CACPPN010000003.1	=	NW_022290857.1	Primary Assembly	24838	na
contig4	unplaced-scaffold	na	na	CACPPN010000004.1	=	NW_022290858.1	Primary Assembly	24596	na
contig5	unplaced-scaffold	na	na	CACPPN010000005.1	=	NW_022290859.1	Primary Assembly	24593	na
contig6	unplaced-scaffold	na	na	CACPPN010000006.1	=	NW_022290860.1	Primary Assembly	22086	na
contig7	unplaced-scaffold	na	na	CACPPN010000007.1	=	NW_022290861.1	Primary Assembly	20815	na
contig8	unplaced-scaffold	na	na	CACPPN010000008.1	=	NW_022290862.1	Primary Assembly	20455	na
contig9	unplaced-scaffold	na	na	CACPPN010000009.1	=	NW_022290863.1	Primary Assembly	20281	na
contig10	unplaced-scaffold	na	na	CACPPN010000010.1	=	NW_022290864.1	Primary Assembly	19080	na
contig11	unplaced-scaffold	na	na	CACPPN010000011.1	=	NW_022290865.1	Primary Assembly	18197	na
contig12	unplaced-scaffold	na	na	CACPPN010000012.1	=	NW_022290866.1	Primary Assembly	17625	na
contig13	unplaced-scaffold	na	na	CACPPN010000013.1	=	NW_022290867.1	Primary Assembly	17096	na
contig14	unplaced-scaffold	na	na	CACPPN010000014.1	=	NW_022290868.1	Primary Assembly	14681	na
contig15	unplaced-scaffold	na	na	CACPPN010000015.1	=	NW_022290869.1	Primary Assembly	12250	na
contig16	unplaced-scaffold	na	na	CACPPN010000016.1	=	NW_022290870.1	Primary Assembly	11902	na
contig17	unplaced-scaffold	na	na	CACPPN010000017.1	=	NW_022290871.1	Primary Assembly	9883	na
contig18	unplaced-scaffold	na	na	CACPPN010000018.1	=	NW_022290872.1	Primary Assembly	9314	na
contig19	unplaced-scaffold	na	na	CACPPN010000019.1	=	NW_022290873.1	Primary Assembly	9109	na
contig20	unplaced-scaffold	na	na	CACPPN010000020.1	=	NW_022290874.1	Primary Assembly	7935	na
contig21	unplaced-scaffold	na	na	CACPPN010000021.1	=	NW_022290875.1	Primary Assembly	7908	na
contig22	unplaced-scaffold	na	na	CACPPN010000022.1	=	NW_022290876.1	Primary Assembly	7164	na
contig23	unplaced-scaffold	na	na	CACPPN010000023.1	=	NW_022290877.1	Primary Assembly	7074	na
contig24	unplaced-scaffold	na	na	CACPPN010000024.1	=	NW_022290878.1	Primary Assembly	6617	na
contig25	unplaced-scaffold	na	na	CACPPN010000025.1	=	NW_022290879.1	Primary Assembly	6004	na
contig26	unplaced-scaffold	na	na	CACPPN010000026.1	=	NW_022290880.1	Primary Assembly	5732	na
contig27	unplaced-scaffold	na	na	CACPPN010000027.1	=	NW_022290881.1	Primary Assembly	5647	na
contig28	unplaced-scaffold	na	na	CACPPN010000028.1	=	NW_022290882.1	Primary Assembly	5325	na
contig29	unplaced-scaffold	na	na	CACPPN010000029.1	=	NW_022290883.1	Primary Assembly	5256	na
contig30	unplaced-scaffold	na	na	CACPPN010000030.1	=	NW_022290884.1	Primary Assembly	5048	na
contig31	unplaced-scaffold	na	na	CACPPN010000031.1	=	NW_022290885.1	Primary Assembly	5026	na
contig32	unplaced-scaffold	na	na	CACPPN010000032.1	=	NW_022290886.1	Primary Assembly	4983	na
contig33	unplaced-scaffold	na	na	CACPPN010000033.1	=	NW_022290887.1	Primary Assembly	4796	na
contig34	unplaced-scaffold	na	na	CACPPN010000034.1	=	NW_022290888.1	Primary Assembly	4758	na
contig35	unplaced-scaffold	na	na	CACPPN010000035.1	=	NW_022290889.1	Primary Assembly	4580	na
contig36	unplaced-scaffold	na	na	CACPPN010000036.1	=	NW_022290890.1	Primary Assembly	4279	na
contig37	unplaced-scaffold	na	na	CACPPN010000037.1	=	NW_022290891.1	Primary Assembly	3815	na
contig38	unplaced-scaffold	na	na	CACPPN010000038.1	=	NW_022290892.1	Primary Assembly	3532	na
contig39	unplaced-scaffold	na	na	CACPPN010000039.1	=	NW_022290893.1	Primary Assembly	3164	na
contig40	unplaced-scaffold	na	na	CACPPN010000040.1	=	NW_022290894.1	Primary Assembly	2679	na
contig41	unplaced-scaffold	na	na	CACPPN010000041.1	=	NW_022290895.1	Primary Assembly	134888	na
contig42	unplaced-scaffold	na	na	CACPPN010000042.1	=	NW_022290896.1	Primary Assembly	133465	na
contig43	unplaced-scaffold	na	na	CACPPN010000043.1	=	NW_022290897.1	Primary Assembly	128831	na
