# Assembly name:  ASM28112v4
# Organism name:  Alligator mississippiensis (American alligator)
# Isolate:  KSC_2009_1
# Taxid:          8496
# BioSample:      SAMN02981418
# BioProject:     PRJNA159843
# Submitter:      International Crocodilian Genomes Working Group
# Date:           2016-03-28
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AKHW03
# Assembly method: Meraculous v. NOVEMBER-2015; HiRise v. NOVEMBER-2015
# Expected final version: yes
# Genome coverage: 156.0x
# Sequencing technology: Illumina GAIIx; Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000281125.4
# RefSeq assembly accession: GCF_000281125.3
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000281135.4	GCF_000281135.3	Primary Assembly
## 	GCF_000030415.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ScZkoYb_3522	unplaced-scaffold	na	na	AKHW03000001.1	=	NW_017707415.1	Primary Assembly	1279	na
ScZkoYb_4643	unplaced-scaffold	na	na	AKHW03000002.1	=	NW_017707416.1	Primary Assembly	4883	na
ScZkoYb_2258	unplaced-scaffold	na	na	AKHW03000003.1	=	NW_017707417.1	Primary Assembly	1105	na
ScZkoYb_3128	unplaced-scaffold	na	na	AKHW03000004.1	=	NW_017707418.1	Primary Assembly	22955	na
ScZkoYb_143.2	unplaced-scaffold	na	na	AKHW03000005.1	=	NW_017707419.1	Primary Assembly	1137523	na
ScZkoYb_4414	unplaced-scaffold	na	na	AKHW03000006.1	=	NW_017707420.1	Primary Assembly	1201	na
ScZkoYb_6368	unplaced-scaffold	na	na	AKHW03000007.1	=	NW_017707421.1	Primary Assembly	1576	na
ScZkoYb_3089	unplaced-scaffold	na	na	AKHW03000008.1	=	NW_017707422.1	Primary Assembly	3459	na
ScZkoYb_1118	unplaced-scaffold	na	na	AKHW03000009.1	=	NW_017707423.1	Primary Assembly	1980	na
ScZkoYb_4846	unplaced-scaffold	na	na	AKHW03000010.1	=	NW_017707424.1	Primary Assembly	1509	na
