Column1;Alligator_mississippiensis;Anolis_carolinensis;Bos_taurus;Canis_lupus_familiaris;Cavia_porcellus;Columba_livia;Danio_rerio;Dasypus_novemcinctus;Echinops_telfairi;Gallus_gallus;Homo_sapiens;Macaca_mulatta;Monodelphis_domestica;Mus_musculus;Ornithorhynchus_anatinus;Oryctolagus_cuniculus;Rattus_norvegicus;Sarcophilus_harrisii;Xenopus_tropicalis
Mir-1247;0;0;0;10;0;0;0;No candidate region;0;0;0;0;0;0;0;0;0;0;0
Mir-126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No candidate region;0;0;0
Mir-132;0;-10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
Mir-139;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;-10
Mir-144;-10;-10;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;0;0
Mir-145;0;0;0;0;0;0;0;No Cmsearch result;0;0;0;0;0;0;0;0;0;0;0
Mir-146;-10;-10;0;0;0;0;-10;0;0;0;0;0;0;0;No Cmsearch result;0;0;0;-10
Mir-147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No Cmsearch result;0;0;0;0
Mir-149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No Cmsearch result;0;0;0
Mir-150;-10;-10;0;0;0;0;-10;0;0;0;0;0;-10;0;No Cmsearch result;0;0;No Cmsearch result;-10
Mir-155;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;0
Mir-184;0;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mir-191;0;0;0;0;0;0;-10;0;0;10;0;0;0;0;0;0;0;0;-10
Mir-192;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;0
Mir-202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No Cmsearch result;0;0;0
Mir-203;0;0;0;0;0;0;0;No Cmsearch result;0;0;0;0;0;0;0;0;0;0;0
Mir-208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10
Mir-21;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;0
Mir-219;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;0;0
Mir-223;0;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mir-325;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;No Cmsearch result;0
Mir-33;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;-10
Mir-330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No candidate region;0;0;0
Mir-338;0;0;0;0;0;0;0;0;No candidate region;0;0;0;0;0;0;0;0;0;0
Mir-340;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;No Cmsearch result;0
Mir-375;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;-10
Mir-425;0;-10;0;0;0;0;-10;0;0;10;0;0;0;0;0;0;0;0;-10
Mir-430;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;-10
Mir-451;0;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mir-459;-10;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;-10
Mir-483;0;0;0;No Cmsearch result;0;0;0;No Cmsearch result;0;0;0;0;0;0;0;No Cmsearch result;0;No Cmsearch result;0
Mir-489;0;0;0;0;0;0;0;0;0;0;0;0;0;No candidate region;0;0;No Cmsearch result;0;0
Mir-493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No Cmsearch result;0;0;0
Mir-506;0;0;10;0;-10;0;0;0;No candidate region/No Cmsearch result;0;0;0;0;No Cmsearch result;0;0;-10;0;0
Mir-541;0;0;0;10;0;0;0;0;0;0;0;0;0;No Cmsearch result;0;0;-10;0;0
Mir-544;0;0;0;0;10;0;0;10;No re-BLAST (repeat region);0;0;0;0;0;0;0;0;0;0
Mir-551;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;0
Mir-590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No Cmsearch result;0;10;0;0
Mir-615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No candidate region;0;0;0
Mir-8;-10;-10;0;0;0;-10;-10;0;0;-10;0;0;0;0;0;0;0;0;-10
Mir-96;0;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
