# Assembly name:  ASM31398v2
# Organism name:  Echinops telfairi (small Madagascar hedgehog)
# Taxid:          9371
# BioSample:      SAMN00216137
# BioProject:     PRJNA12590
# Submitter:      Broad Institute
# Date:           2019-07-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AAIY03
# Assembly method: ALLPATHS v. R37599; Dovetail HiC v. 22-Jul-2017
# Expected final version: yes
# Genome coverage: 78x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000313985.2
# RefSeq assembly accession: GCF_000313985.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000313995.2	GCF_000313995.2	Primary Assembly
## 	GCF_000033495.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ScPeMD7_1;HRSCAF=3_0	unplaced-scaffold	na	na	AAIY03000001.1	=	NW_022103896.1	Primary Assembly	93791816	na
ScPeMD7_1;HRSCAF=3_1	unplaced-scaffold	na	na	AAIY03000002.1	=	NW_022103897.1	Primary Assembly	7030343	na
ScPeMD7_2;HRSCAF=8	unplaced-scaffold	na	na	AAIY03000003.1	=	NW_022103898.1	Primary Assembly	79101790	na
ScPeMD7_3;HRSCAF=10	unplaced-scaffold	na	na	AAIY03000004.1	=	NW_022103899.1	Primary Assembly	65553034	na
ScPeMD7_4;HRSCAF=17	unplaced-scaffold	na	na	AAIY03000005.1	=	NW_022103900.1	Primary Assembly	52467969	na
ScPeMD7_5;HRSCAF=22	unplaced-scaffold	na	na	AAIY03000006.1	=	NW_022103901.1	Primary Assembly	45481076	na
ScPeMD7_6;HRSCAF=24_0	unplaced-scaffold	na	na	AAIY03000007.1	=	NW_022103902.1	Primary Assembly	24584188	na
ScPeMD7_6;HRSCAF=24_1	unplaced-scaffold	na	na	AAIY03000008.1	=	NW_022103903.1	Primary Assembly	22300735	na
ScPeMD7_7;HRSCAF=31	unplaced-scaffold	na	na	AAIY03000009.1	=	NW_022103904.1	Primary Assembly	29683626	na
ScPeMD7_8;HRSCAF=38	unplaced-scaffold	na	na	AAIY03000010.1	=	NW_022103905.1	Primary Assembly	20508454	na
ScPeMD7_9;HRSCAF=40	unplaced-scaffold	na	na	AAIY03000011.1	=	NW_022103906.1	Primary Assembly	101651896	na
ScPeMD7_10;HRSCAF=50	unplaced-scaffold	na	na	AAIY03000012.1	=	NW_022103907.1	Primary Assembly	16476254	na
ScPeMD7_11;HRSCAF=52	unplaced-scaffold	na	na	AAIY03000013.1	=	NW_022103908.1	Primary Assembly	42296477	na
ScPeMD7_12;HRSCAF=54	unplaced-scaffold	na	na	AAIY03000014.1	=	NW_022103909.1	Primary Assembly	14257623	na
ScPeMD7_13;HRSCAF=56	unplaced-scaffold	na	na	AAIY03000015.1	=	NW_022103910.1	Primary Assembly	1381667	na
ScPeMD7_14;HRSCAF=57	unplaced-scaffold	na	na	AAIY03000016.1	=	NW_022103911.1	Primary Assembly	13553483	na
ScPeMD7_15;HRSCAF=58	unplaced-scaffold	na	na	AAIY03000017.1	=	NW_022103912.1	Primary Assembly	12600818	na
ScPeMD7_16;HRSCAF=60	unplaced-scaffold	na	na	AAIY03000018.1	=	NW_022103913.1	Primary Assembly	11961032	na
ScPeMD7_17;HRSCAF=63	unplaced-scaffold	na	na	AAIY03000019.1	=	NW_022103914.1	Primary Assembly	11537790	na
ScPeMD7_18;HRSCAF=68	unplaced-scaffold	na	na	AAIY03000020.1	=	NW_022103915.1	Primary Assembly	99203667	na
ScPeMD7_19;HRSCAF=73	unplaced-scaffold	na	na	AAIY03000021.1	=	NW_022103916.1	Primary Assembly	9926440	na
