# Assembly name:  mRatBN7.2
# Organism name:  Rattus norvegicus (Norway rat)
# Infraspecific name:  strain=BN/NHsdMcwi
# Sex:  male
# Taxid:          10116
# BioSample:      SAMN16261960
# BioProject:     PRJNA662791
# Submitter:      Wellcome Sanger Institute
# Date:           2020-11-10
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACYVU01
# Assembly method: FALCON-Unzip v. 2020
# Expected final version: yes
# Genome coverage: 92.0x
# Sequencing technology: PacBio Sequel; 10X Genomics Chromium; BioNano; Arima Hi-C
# GenBank assembly accession: GCA_015227675.2
# RefSeq assembly accession: GCF_015227675.2
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_016700215.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015227685.1	GCF_015227685.1	Primary Assembly
## GCA_000002045.1	GCF_000002045.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM026974.1	=	NC_051336.1	Primary Assembly	260522016	na
2	assembled-molecule	2	Chromosome	CM026975.1	=	NC_051337.1	Primary Assembly	249053267	na
3	assembled-molecule	3	Chromosome	CM026976.1	=	NC_051338.1	Primary Assembly	169034231	na
4	assembled-molecule	4	Chromosome	CM026977.1	=	NC_051339.1	Primary Assembly	182687754	na
5	assembled-molecule	5	Chromosome	CM026978.1	=	NC_051340.1	Primary Assembly	166875058	na
6	assembled-molecule	6	Chromosome	CM026979.1	=	NC_051341.1	Primary Assembly	140994061	na
7	assembled-molecule	7	Chromosome	CM026980.1	=	NC_051342.1	Primary Assembly	135012528	na
8	assembled-molecule	8	Chromosome	CM026981.1	=	NC_051343.1	Primary Assembly	123900184	na
9	assembled-molecule	9	Chromosome	CM026982.1	=	NC_051344.1	Primary Assembly	114175309	na
10	assembled-molecule	10	Chromosome	CM026983.1	=	NC_051345.1	Primary Assembly	107211142	na
11	assembled-molecule	11	Chromosome	CM026984.1	=	NC_051346.1	Primary Assembly	86241447	na
12	assembled-molecule	12	Chromosome	CM026985.1	=	NC_051347.1	Primary Assembly	46669029	na
13	assembled-molecule	13	Chromosome	CM026986.1	=	NC_051348.1	Primary Assembly	106807694	na
14	assembled-molecule	14	Chromosome	CM026987.1	=	NC_051349.1	Primary Assembly	104886043	na
15	assembled-molecule	15	Chromosome	CM026988.1	=	NC_051350.1	Primary Assembly	101769107	na
16	assembled-molecule	16	Chromosome	CM026989.1	=	NC_051351.1	Primary Assembly	84729064	na
17	assembled-molecule	17	Chromosome	CM026990.1	=	NC_051352.1	Primary Assembly	86533673	na
18	assembled-molecule	18	Chromosome	CM026991.1	=	NC_051353.1	Primary Assembly	83828827	na
19	assembled-molecule	19	Chromosome	CM026992.1	=	NC_051354.1	Primary Assembly	57337602	na
20	assembled-molecule	20	Chromosome	CM026993.1	=	NC_051355.1	Primary Assembly	54435887	na
X	assembled-molecule	X	Chromosome	CM026994.1	=	NC_051356.1	Primary Assembly	152453651	na
Y	assembled-molecule	Y	Chromosome	CM026995.1	=	NC_051357.1	Primary Assembly	18315841	na
12_unloc2	unlocalized-scaffold	12	Chromosome	JACYVU010000238.1	=	NW_023637712.1	Primary Assembly	210070	na
12_unloc1	unlocalized-scaffold	12	Chromosome	MU150189.1	=	NW_023637711.1	Primary Assembly	1402623	na
19_unloc1	unlocalized-scaffold	19	Chromosome	JACYVU010000315.1	=	NW_023637713.1	Primary Assembly	23956	na
19_unloc2	unlocalized-scaffold	19	Chromosome	JACYVU010000316.1	=	NW_023637714.1	Primary Assembly	23219	na
19_unloc3	unlocalized-scaffold	19	Chromosome	JACYVU010000317.1	=	NW_023637715.1	Primary Assembly	19663	na
19_unloc4	unlocalized-scaffold	19	Chromosome	JACYVU010000318.1	=	NW_023637716.1	Primary Assembly	14256	na
19_unloc5	unlocalized-scaffold	19	Chromosome	JACYVU010000319.1	=	NW_023637717.1	Primary Assembly	202997	na
Y_unloc1	unlocalized-scaffold	Y	Chromosome	JACYVU010000493.1	=	NW_023637718.1	Primary Assembly	444596	na
Y_unloc2	unlocalized-scaffold	Y	Chromosome	MU150190.1	=	NW_023637719.1	Primary Assembly	573231	na
Y_unloc3	unlocalized-scaffold	Y	Chromosome	MU150191.1	=	NW_023637720.1	Primary Assembly	1794995	na
Y_unloc4	unlocalized-scaffold	Y	Chromosome	MU150192.1	=	NW_023637721.1	Primary Assembly	273924	na
Y_unloc5	unlocalized-scaffold	Y	Chromosome	MU150193.1	=	NW_023637722.1	Primary Assembly	383091	na
scaffold_29	unplaced-scaffold	na	na	JACYVU010000587.1	=	NW_023637729.1	Primary Assembly	20806	na
scaffold_30	unplaced-scaffold	na	na	JACYVU010000588.1	=	NW_023637730.1	Primary Assembly	3527	na
scaffold_31	unplaced-scaffold	na	na	JACYVU010000589.1	=	NW_023637731.1	Primary Assembly	36943	na
scaffold_32	unplaced-scaffold	na	na	JACYVU010000590.1	=	NW_023637732.1	Primary Assembly	59774	na
scaffold_34	unplaced-scaffold	na	na	JACYVU010000595.1	=	NW_023637734.1	Primary Assembly	55443	na
scaffold_35	unplaced-scaffold	na	na	JACYVU010000596.1	=	NW_023637735.1	Primary Assembly	55703	na
scaffold_36	unplaced-scaffold	na	na	JACYVU010000597.1	=	NW_023637736.1	Primary Assembly	55030	na
scaffold_37	unplaced-scaffold	na	na	JACYVU010000598.1	=	NW_023637737.1	Primary Assembly	54054	na
scaffold_38	unplaced-scaffold	na	na	JACYVU010000599.1	=	NW_023637738.1	Primary Assembly	52490	na
scaffold_39	unplaced-scaffold	na	na	JACYVU010000600.1	=	NW_023637739.1	Primary Assembly	52429	na
scaffold_40	unplaced-scaffold	na	na	JACYVU010000601.1	=	NW_023637740.1	Primary Assembly	53477	na
scaffold_41	unplaced-scaffold	na	na	JACYVU010000602.1	=	NW_023637741.1	Primary Assembly	51231	na
scaffold_42	unplaced-scaffold	na	na	JACYVU010000603.1	=	NW_023637742.1	Primary Assembly	50135	na
scaffold_43	unplaced-scaffold	na	na	JACYVU010000604.1	=	NW_023637743.1	Primary Assembly	48867	na
scaffold_44	unplaced-scaffold	na	na	JACYVU010000605.1	=	NW_023637744.1	Primary Assembly	48649	na
scaffold_45	unplaced-scaffold	na	na	JACYVU010000606.1	=	NW_023637745.1	Primary Assembly	47994	na
scaffold_46	unplaced-scaffold	na	na	JACYVU010000607.1	=	NW_023637746.1	Primary Assembly	47167	na
scaffold_47	unplaced-scaffold	na	na	JACYVU010000608.1	=	NW_023637747.1	Primary Assembly	46828	na
scaffold_48	unplaced-scaffold	na	na	JACYVU010000609.1	=	NW_023637748.1	Primary Assembly	44754	na
scaffold_49	unplaced-scaffold	na	na	JACYVU010000610.1	=	NW_023637749.1	Primary Assembly	44011	na
scaffold_50	unplaced-scaffold	na	na	JACYVU010000611.1	=	NW_023637750.1	Primary Assembly	43227	na
scaffold_51	unplaced-scaffold	na	na	JACYVU010000612.1	=	NW_023637751.1	Primary Assembly	42710	na
scaffold_52	unplaced-scaffold	na	na	JACYVU010000613.1	=	NW_023637752.1	Primary Assembly	42392	na
scaffold_53	unplaced-scaffold	na	na	JACYVU010000614.1	=	NW_023637753.1	Primary Assembly	41807	na
scaffold_56	unplaced-scaffold	na	na	JACYVU010000619.1	=	NW_023637756.1	Primary Assembly	39806	na
scaffold_57	unplaced-scaffold	na	na	JACYVU010000620.1	=	NW_023637757.1	Primary Assembly	39355	na
scaffold_58	unplaced-scaffold	na	na	JACYVU010000621.1	=	NW_023637758.1	Primary Assembly	38789	na
scaffold_59	unplaced-scaffold	na	na	JACYVU010000622.1	=	NW_023637759.1	Primary Assembly	38316	na
scaffold_60	unplaced-scaffold	na	na	JACYVU010000623.1	=	NW_023637760.1	Primary Assembly	37756	na
scaffold_61	unplaced-scaffold	na	na	JACYVU010000624.1	=	NW_023637761.1	Primary Assembly	37900	na
scaffold_62	unplaced-scaffold	na	na	JACYVU010000625.1	=	NW_023637762.1	Primary Assembly	37835	na
scaffold_63	unplaced-scaffold	na	na	JACYVU010000626.1	=	NW_023637763.1	Primary Assembly	37503	na
scaffold_65	unplaced-scaffold	na	na	JACYVU010000629.1	=	NW_023637765.1	Primary Assembly	36674	na
scaffold_66	unplaced-scaffold	na	na	JACYVU010000630.1	=	NW_023637766.1	Primary Assembly	36093	na
scaffold_67	unplaced-scaffold	na	na	JACYVU010000631.1	=	NW_023637767.1	Primary Assembly	35514	na
scaffold_68	unplaced-scaffold	na	na	JACYVU010000632.1	=	NW_023637768.1	Primary Assembly	35635	na
scaffold_69	unplaced-scaffold	na	na	JACYVU010000633.1	=	NW_023637769.1	Primary Assembly	35019	na
scaffold_70	unplaced-scaffold	na	na	JACYVU010000634.1	=	NW_023637770.1	Primary Assembly	34854	na
scaffold_71	unplaced-scaffold	na	na	JACYVU010000635.1	=	NW_023637771.1	Primary Assembly	34273	na
scaffold_72	unplaced-scaffold	na	na	JACYVU010000636.1	=	NW_023637772.1	Primary Assembly	34141	na
scaffold_73	unplaced-scaffold	na	na	JACYVU010000637.1	=	NW_023637773.1	Primary Assembly	32456	na
scaffold_74	unplaced-scaffold	na	na	JACYVU010000638.1	=	NW_023637774.1	Primary Assembly	31866	na
scaffold_75	unplaced-scaffold	na	na	JACYVU010000639.1	=	NW_023637775.1	Primary Assembly	31814	na
scaffold_76	unplaced-scaffold	na	na	JACYVU010000640.1	=	NW_023637776.1	Primary Assembly	30923	na
scaffold_77	unplaced-scaffold	na	na	JACYVU010000641.1	=	NW_023637777.1	Primary Assembly	30905	na
