,species,mirid,mirfam,chrom,start,end,strand
0,Xenopus_tropicalis,Hsa-Mir-129-P1,Mir-129,Chr3,87944948,87945013,-
1,Xenopus_tropicalis,Hsa-Mir-133-P1-v2,Mir-133,Chr10,4991978,4992036,+
2,Xenopus_tropicalis,Hsa-Mir-142-v3,Mir-142,Chr2,42792017,42792075,+
3,Xenopus_tropicalis,Hsa-Mir-142-v3,Mir-142,Chr2,42793231,42793289,+
4,Xenopus_tropicalis,Hsa-Mir-130-P2b,Mir-130,Chr1,153873924,153873984,-
5,Xenopus_tropicalis,Hsa-Mir-17-P1a,Mir-17,Chr2,123388494,123388555,-
6,Xenopus_tropicalis,Hsa-Mir-103-P2,Mir-103,Chr1,12265455,12265514,-
7,Xenopus_tropicalis,Hsa-Mir-142-v1,Mir-142,Chr2,42792017,42792075,+
8,Xenopus_tropicalis,Hsa-Mir-142-v1,Mir-142,Chr2,42793231,42793289,+
9,Xenopus_tropicalis,Hsa-Mir-145,Mir-145,Chr3,40375578,40375637,-
10,Xenopus_tropicalis,Hsa-Mir-135-P2,Mir-135,Chr3,51111401,51111459,+
11,Xenopus_tropicalis,Hsa-Mir-129-P2,Mir-129,Chr4,9842740,9842803,+
12,Xenopus_tropicalis,Hsa-Mir-34-P3b,Mir-34,Chr1,191769493,191769553,+
13,Xenopus_tropicalis,Hsa-Mir-133-P1-v1,Mir-133,Chr10,4991978,4992036,+
14,Xenopus_tropicalis,Hsa-Mir-383-v2,Mir-383,Chr1,41561177,41561239,-
15,Xenopus_tropicalis,Hsa-Mir-31,Mir-31,Chr1,121144839,121144897,-
16,Xenopus_tropicalis,Hsa-Mir-133-P2-v1,Mir-133,Chr6,108621920,108621979,-
17,Xenopus_tropicalis,Hsa-Mir-126-v1,Mir-126,Chr8,6847977,6848034,+
18,Xenopus_tropicalis,Hsa-Mir-30-P2a,Mir-30,Chr5,92570978,92571036,+
19,Xenopus_tropicalis,Hsa-Mir-130-P1a,Mir-130,Chr1,153874755,153874801,-
20,Xenopus_tropicalis,Hsa-Mir-130-P1b,Mir-130,Chr1,153865919,153865978,-
21,Xenopus_tropicalis,Hsa-Mir-155,Mir-155,Chr2,18779426,18779487,-
22,Xenopus_tropicalis,Hsa-Mir-122-as,Mir-122,Chr1,201700033,201700088,+
23,Xenopus_tropicalis,Hsa-Mir-10-P3c,Mir-10,Chr2,27401611,27401672,+
24,Xenopus_tropicalis,Hsa-Mir-219-P2-as,Mir-219,Chr8,25809044,25809109,+
25,Xenopus_tropicalis,Hsa-Mir-10-P3a,Mir-10,Chr7,78247142,78247204,-
26,Xenopus_tropicalis,Hsa-Mir-96-P2,Mir-96,Chr3,87077917,87077980,+
27,Xenopus_tropicalis,Hsa-Mir-1287,Mir-1287,Chr7,34849468,34849526,-
28,Xenopus_tropicalis,Hsa-Mir-17-P2a,Mir-17,Chr2,123388365,123388428,-
29,Xenopus_tropicalis,Hsa-Mir-489-v1,Mir-489,Chr6,32372900,32372959,-
30,Xenopus_tropicalis,Hsa-Mir-124-P3-v1,Mir-124,Chr10,2275675,2275734,-
31,Xenopus_tropicalis,Hsa-Mir-103-P1,Mir-103,Chr3,33397819,33397877,+
32,Xenopus_tropicalis,Hsa-Mir-451,Mir-451,Chr2,34089012,34089052,+
33,Xenopus_tropicalis,Hsa-Mir-126-v2,Mir-126,Chr8,6847977,6848034,+
34,Xenopus_tropicalis,Hsa-Mir-17-P1b,Mir-17,Chr8,68370634,68370690,-
35,Xenopus_tropicalis,Hsa-Mir-196-P2,Mir-196,Chr2,146105378,146105438,-
36,Xenopus_tropicalis,Hsa-Mir-140-v2,Mir-140,Chr4,60878924,60878985,-
37,Xenopus_tropicalis,Hsa-Mir-9-P3,Mir-9,Chr3,109259915,109259974,+
38,Xenopus_tropicalis,Hsa-Mir-9-P3,Mir-9,Chr1,114217292,114217349,+
39,Xenopus_tropicalis,Hsa-Mir-153-P2,Mir-153,Chr6,17861082,17861142,-
40,Xenopus_tropicalis,Hsa-Mir-15-P1b,Mir-15,Chr5,114788620,114788679,-
41,Xenopus_tropicalis,Hsa-Mir-103-P3,Mir-103,Chr7,36367348,36367407,-
42,Xenopus_tropicalis,Hsa-Mir-181-P2a,Mir-181,Chr8,28635778,28635836,-
43,Xenopus_tropicalis,Hsa-Mir-34-P1,Mir-34,Chr7,89756768,89756833,-
44,Xenopus_tropicalis,Hsa-Mir-19-P1,Mir-19,Chr2,123388223,123388280,-
45,Xenopus_tropicalis,Hsa-Mir-124-P3-v2,Mir-124,Chr10,2275676,2275734,-
46,Xenopus_tropicalis,Hsa-Mir-9-P2,Mir-9,Chr1,179534586,179534643,+
47,Xenopus_tropicalis,Hsa-Mir-221-P1,Mir-221,Chr2,55676439,55676500,+
48,Xenopus_tropicalis,Hsa-Mir-122,Mir-122,Chr1,201700035,201700092,-
49,Xenopus_tropicalis,Hsa-Mir-148-P3,Mir-148,Chr2,145583585,145583645,-
50,Xenopus_tropicalis,Hsa-Mir-196-P3,Mir-196,Chr6,42206905,42206963,-
51,Xenopus_tropicalis,Hsa-Mir-203-v2,Mir-203,Chr8,98866062,98866120,+
52,Xenopus_tropicalis,Hsa-Mir-34-P2b,Mir-34,Chr7,84110829,84110882,+
53,Xenopus_tropicalis,Hsa-Mir-199-P3-v2,Mir-199,Chr4,107415572,107415631,+
54,Xenopus_tropicalis,Hsa-Let-7-P2c2,Let-7,Chr3,52138735,52138811,-
55,Xenopus_tropicalis,Hsa-Mir-15-P1a,Mir-15,Chr2,149439770,149439828,-
56,Xenopus_tropicalis,Hsa-Mir-101-P1-v1,Mir-101,Chr4,84476487,84476542,+
57,Xenopus_tropicalis,Hsa-Mir-17-P1c,Mir-17,Chr3,144223311,144223370,+
