,species,mirid,mirfam,chrom,start,end,strand,True_positive
0,Gallus_gallus,Gga-Mir-1651_pre,Mir-1651,1,539169,539226,+,False_chromo
1,Gallus_gallus,Gga-Mir-96-P2_pre,Mir-96,1,843242,843306,-,False_location
2,Gallus_gallus,Gga-Mir-96-P1_pre,Mir-96,1,844266,844329,-,False_location
3,Gallus_gallus,Gga-Mir-96-P3-v1_pre,Mir-96,1,844384,844445,-,False_location
4,Gallus_gallus,Gga-Mir-96-P3-v2_pre,Mir-96,1,844385,844444,-,False_location
5,Gallus_gallus,Gga-Mir-205-P2_pre,Mir-205,1,1273706,1273764,-,False_chromo
6,Gallus_gallus,Gga-Mir-29-P2a_pre,Mir-29,1,3433768,3433831,+,False_location
7,Gallus_gallus,Gga-Mir-29-P1a_pre,Mir-29,1,3434792,3434851,+,False_location
8,Anolis_carolinensis,Aca-Mir-203-v1_pre,Mir-203,1,5622445,5622504,-,True
9,Anolis_carolinensis,Aca-Mir-203-v2_pre,Mir-203,1,5622445,5622504,-,True
10,Gallus_gallus,Gga-Mir-1596_pre,Mir-1596,1,5811665,5811728,+,False_chromo
11,Monodelphis_domestica,Mdo-Mir-7247_pre,Mir-7247,1,11130354,11130410,+,False_chromo
12,Gallus_gallus,Gga-Let-7-P2c2_pre,Let-7,1,33060802,33060878,+,False_location
13,Monodelphis_domestica,Mdo-Mir-7257_pre,Mir-7257,1,41225367,41225425,+,False_chromo
14,Gallus_gallus,Gga-Mir-135-P2_pre,Mir-135,1,46334607,46334666,+,False_location
15,Monodelphis_domestica,Mdo-Mir-7277_pre,Mir-7277,1,48274735,48274798,-,False_chromo
16,Gallus_gallus,Gga-Mir-33-P1_pre,Mir-33,1,49529876,49529936,-,False_location
17,Gallus_gallus,Gga-Mir-490_pre,Mir-490,1,57923994,57924054,-,False_location
18,Monodelphis_domestica,Mdo-Mir-12298_pre,Mir-12298,1,63576962,63577021,+,False_chromo
19,Anolis_carolinensis,Aca-Mir-5396-P1_pre,Mir-5396,1,69318558,69318617,+,False_chromo
20,Gallus_gallus,Gga-Let-7-P2a2_pre,Let-7,1,71291484,71291554,+,False_location
21,Gallus_gallus,Gga-Let-7-P2b2_pre,Let-7,1,71292315,71292391,+,False_location
22,Monodelphis_domestica,Mdo-Mir-340_pre,Mir-340,1,72641020,72641074,+,False_chromo
