# Assembly name:  bGalGal1.mat.broiler.GRCg7b
# Organism name:  Gallus gallus (chicken)
# Isolate:  bGalGal1
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN15960293
# BioProject:     PRJNA660757
# Submitter:      Vertebrate Genomes Project
# Date:           2021-01-19
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAENSK01
# Assembly method: TrioCanu v. 1.8; purge_dups v. 1.0.0; Scaff 10x v. 4.1.0; Bionano solve v. 3.2.1_04122018; Salsa2 HiC v. 2.2; Arrow polishing and gap filling v. SMRTLink7.0.1; Freebayes v. 1.3.1; gEVAL manual curation v. 2020-07-22; VGP trio assembly pipeline v. 1.6
# Expected final version: no
# Genome coverage: 102.01x
# Sequencing technology: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_016699485.1
# RefSeq assembly accession: GCF_016699485.2
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCF_016700215.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_016699495.1	GCF_016699495.1	Primary Assembly
## GCA_016699505.1	GCF_016699505.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM028482.1	=	NC_052532.1	Primary Assembly	196449156	na
2	assembled-molecule	2	Chromosome	CM028483.1	=	NC_052533.1	Primary Assembly	149539284	na
3	assembled-molecule	3	Chromosome	CM028484.1	=	NC_052534.1	Primary Assembly	110642502	na
4	assembled-molecule	4	Chromosome	CM028485.1	=	NC_052535.1	Primary Assembly	90861225	na
5	assembled-molecule	5	Chromosome	CM028486.1	=	NC_052536.1	Primary Assembly	59506338	na
6	assembled-molecule	6	Chromosome	CM028487.1	=	NC_052537.1	Primary Assembly	36220557	na
7	assembled-molecule	7	Chromosome	CM028488.1	=	NC_052538.1	Primary Assembly	36382834	na
8	assembled-molecule	8	Chromosome	CM028489.1	=	NC_052539.1	Primary Assembly	29578256	na
9	assembled-molecule	9	Chromosome	CM028490.1	=	NC_052540.1	Primary Assembly	23733309	na
10	assembled-molecule	10	Chromosome	CM028491.1	=	NC_052541.1	Primary Assembly	20453248	na
11	assembled-molecule	11	Chromosome	CM028492.1	=	NC_052542.1	Primary Assembly	19638187	na
12	assembled-molecule	12	Chromosome	CM028493.1	=	NC_052543.1	Primary Assembly	20119077	na
13	assembled-molecule	13	Chromosome	CM028494.1	=	NC_052544.1	Primary Assembly	17905061	na
14	assembled-molecule	14	Chromosome	CM028495.1	=	NC_052545.1	Primary Assembly	15331188	na
15	assembled-molecule	15	Chromosome	CM028496.1	=	NC_052546.1	Primary Assembly	12703657	na
16	assembled-molecule	16	Chromosome	CM028497.1	=	NC_052547.1	Primary Assembly	2706039	na
17	assembled-molecule	17	Chromosome	CM028498.1	=	NC_052548.1	Primary Assembly	11092391	na
18	assembled-molecule	18	Chromosome	CM028499.1	=	NC_052549.1	Primary Assembly	11623896	na
19	assembled-molecule	19	Chromosome	CM028500.1	=	NC_052550.1	Primary Assembly	10455293	na
20	assembled-molecule	20	Chromosome	CM028501.1	=	NC_052551.1	Primary Assembly	14265659	na
21	assembled-molecule	21	Chromosome	CM028502.1	=	NC_052552.1	Primary Assembly	6970754	na
22	assembled-molecule	22	Chromosome	CM028503.1	=	NC_052553.1	Primary Assembly	4686657	na
23	assembled-molecule	23	Chromosome	CM028504.1	=	NC_052554.1	Primary Assembly	6253421	na
24	assembled-molecule	24	Chromosome	CM028505.1	=	NC_052555.1	Primary Assembly	6478339	na
25	assembled-molecule	25	Chromosome	CM028506.1	=	NC_052556.1	Primary Assembly	3067737	na
26	assembled-molecule	26	Chromosome	CM028507.1	=	NC_052557.1	Primary Assembly	5349051	na
27	assembled-molecule	27	Chromosome	CM028508.1	=	NC_052558.1	Primary Assembly	5228753	na
28	assembled-molecule	28	Chromosome	CM028509.1	=	NC_052559.1	Primary Assembly	5437364	na
29	assembled-molecule	29	Chromosome	CM028510.1	=	NC_052560.1	Primary Assembly	726478	na
30	assembled-molecule	30	Chromosome	CM028511.1	=	NC_052561.1	Primary Assembly	755666	na
31	assembled-molecule	31	Chromosome	CM028512.1	=	NC_052562.1	Primary Assembly	2457334	na
32	assembled-molecule	32	Chromosome	CM028513.1	=	NC_052563.1	Primary Assembly	125424	na
33	assembled-molecule	33	Chromosome	CM028514.1	=	NC_052564.1	Primary Assembly	3839931	na
34	assembled-molecule	34	Chromosome	CM028515.1	=	NC_052565.1	Primary Assembly	3469343	na
35	assembled-molecule	35	Chromosome	CM028516.1	=	NC_052566.1	Primary Assembly	554126	na
36	assembled-molecule	36	Chromosome	CM028517.1	=	NC_052567.1	Primary Assembly	358375	na
37	assembled-molecule	37	Chromosome	CM028518.1	=	NC_052568.1	Primary Assembly	157853	na
