,species,mirid,mirfam,chrom,start,end,strand,True_positive
0,Xenopus_tropicalis,Hsa-Mir-129-P1,Mir-129,Chr3,87944948,87945013,-,False_chromo
1,Xenopus_tropicalis,Hsa-Mir-133-P1-v2,Mir-133,Chr10,4991978,4992036,+,False_chromo
2,Xenopus_tropicalis,Hsa-Mir-142-v3,Mir-142,Chr2,42792017,42792075,+,False_chromo
3,Xenopus_tropicalis,Hsa-Mir-142-v3,Mir-142,Chr2,42793231,42793289,+,False_chromo
4,Xenopus_tropicalis,Hsa-Mir-130-P2b,Mir-130,Chr1,153873924,153873984,-,False_chromo
5,Xenopus_tropicalis,Hsa-Mir-17-P1a,Mir-17,Chr2,123388494,123388555,-,False_chromo
6,Xenopus_tropicalis,Hsa-Mir-103-P2,Mir-103,Chr1,12265455,12265514,-,False_chromo
7,Xenopus_tropicalis,Hsa-Mir-142-v1,Mir-142,Chr2,42792017,42792075,+,False_chromo
8,Xenopus_tropicalis,Hsa-Mir-142-v1,Mir-142,Chr2,42793231,42793289,+,False_chromo
9,Xenopus_tropicalis,Hsa-Mir-145,Mir-145,Chr3,40375578,40375637,-,False_chromo
10,Xenopus_tropicalis,Hsa-Mir-135-P2,Mir-135,Chr3,51111401,51111459,+,False_chromo
11,Xenopus_tropicalis,Hsa-Mir-129-P2,Mir-129,Chr4,9842740,9842803,+,False_chromo
12,Xenopus_tropicalis,Hsa-Mir-34-P3b,Mir-34,Chr1,191769493,191769553,+,False_chromo
13,Xenopus_tropicalis,Hsa-Mir-133-P1-v1,Mir-133,Chr10,4991978,4992036,+,False_chromo
14,Xenopus_tropicalis,Hsa-Mir-383-v2,Mir-383,Chr1,41561177,41561239,-,False_chromo
15,Xenopus_tropicalis,Hsa-Mir-31,Mir-31,Chr1,121144839,121144897,-,False_chromo
16,Xenopus_tropicalis,Hsa-Mir-133-P2-v1,Mir-133,Chr6,108621920,108621979,-,False_chromo
17,Xenopus_tropicalis,Hsa-Mir-126-v1,Mir-126,Chr8,6847977,6848034,+,False_chromo
18,Xenopus_tropicalis,Hsa-Mir-30-P2a,Mir-30,Chr5,92570978,92571036,+,False_chromo
19,Xenopus_tropicalis,Hsa-Mir-130-P1a,Mir-130,Chr1,153874755,153874801,-,False_chromo
20,Xenopus_tropicalis,Hsa-Mir-130-P1b,Mir-130,Chr1,153865919,153865978,-,False_chromo
21,Xenopus_tropicalis,Hsa-Mir-155,Mir-155,Chr2,18779426,18779487,-,False_chromo
22,Xenopus_tropicalis,Hsa-Mir-122-as,Mir-122,Chr1,201700033,201700088,+,False_chromo
23,Xenopus_tropicalis,Hsa-Mir-10-P3c,Mir-10,Chr2,27401611,27401672,+,False_chromo
24,Xenopus_tropicalis,Hsa-Mir-219-P2-as,Mir-219,Chr8,25809044,25809109,+,False_chromo
25,Xenopus_tropicalis,Hsa-Mir-10-P3a,Mir-10,Chr7,78247142,78247204,-,False_chromo
26,Xenopus_tropicalis,Hsa-Mir-96-P2,Mir-96,Chr3,87077917,87077980,+,False_chromo
27,Xenopus_tropicalis,Hsa-Mir-1287,Mir-1287,Chr7,34849468,34849526,-,False_chromo
28,Xenopus_tropicalis,Hsa-Mir-17-P2a,Mir-17,Chr2,123388365,123388428,-,False_chromo
29,Xenopus_tropicalis,Hsa-Mir-489-v1,Mir-489,Chr6,32372900,32372959,-,False_chromo
30,Xenopus_tropicalis,Hsa-Mir-124-P3-v1,Mir-124,Chr10,2275675,2275734,-,False_chromo
31,Xenopus_tropicalis,Hsa-Mir-103-P1,Mir-103,Chr3,33397819,33397877,+,False_chromo
32,Xenopus_tropicalis,Hsa-Mir-451,Mir-451,Chr2,34089012,34089052,+,False_chromo
33,Xenopus_tropicalis,Hsa-Mir-126-v2,Mir-126,Chr8,6847977,6848034,+,False_chromo
34,Xenopus_tropicalis,Hsa-Mir-17-P1b,Mir-17,Chr8,68370634,68370690,-,False_chromo
35,Xenopus_tropicalis,Hsa-Mir-196-P2,Mir-196,Chr2,146105378,146105438,-,False_chromo
36,Xenopus_tropicalis,Hsa-Mir-140-v2,Mir-140,Chr4,60878924,60878985,-,False_chromo
37,Xenopus_tropicalis,Hsa-Mir-9-P3,Mir-9,Chr3,109259915,109259974,+,False_chromo
38,Xenopus_tropicalis,Hsa-Mir-9-P3,Mir-9,Chr1,114217292,114217349,+,False_chromo
39,Xenopus_tropicalis,Hsa-Mir-153-P2,Mir-153,Chr6,17861082,17861142,-,False_chromo
40,Xenopus_tropicalis,Hsa-Mir-15-P1b,Mir-15,Chr5,114788620,114788679,-,False_chromo
41,Xenopus_tropicalis,Hsa-Mir-103-P3,Mir-103,Chr7,36367348,36367407,-,False_chromo
42,Xenopus_tropicalis,Hsa-Mir-181-P2a,Mir-181,Chr8,28635778,28635836,-,False_chromo
43,Xenopus_tropicalis,Hsa-Mir-34-P1,Mir-34,Chr7,89756768,89756833,-,False_chromo
44,Xenopus_tropicalis,Hsa-Mir-19-P1,Mir-19,Chr2,123388223,123388280,-,False_chromo
45,Xenopus_tropicalis,Hsa-Mir-124-P3-v2,Mir-124,Chr10,2275676,2275734,-,False_chromo
46,Xenopus_tropicalis,Hsa-Mir-9-P2,Mir-9,Chr1,179534586,179534643,+,False_chromo
47,Xenopus_tropicalis,Hsa-Mir-221-P1,Mir-221,Chr2,55676439,55676500,+,False_chromo
