# Region Report
# Assembly name:  GRCz11
# Description:    Genome Reference Consortium Zebrafish Build 11
# Organism name:  Danio rerio (zebrafish)
# Infraspecific name:  strain=Tuebingen
# Taxid:          7955
# BioSample:      SAMN06930106
# BioProject:     PRJNA11776
# Submitter:      Genome Reference Consortium
# Date:           2017-05-09
# Synonyms:       danRer11	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000002035.4
# RefSeq assembly accession: GCF_000002035.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000175.4	GCF_000000175.5	Primary Assembly
## GCA_002119155.1	GCF_002119155.1	ALT_DRER_TU_1
## GCA_002119165.1	GCF_002119165.1	ALT_DRER_TU_2
## GCA_002119175.1	GCF_002119175.1	ALT_DRER_TU_3
## GCA_002119185.1	GCF_002119185.1	ALT_DRER_TU_4
## 	GCF_000002055.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
region2	1	8535517	9285746	alt-scaffold	KZ114997.1	NW_018394460.1	ALT_DRER_TU_1
region2	1	8535517	9285746	alt-scaffold	KZ114998.1	NW_018394461.1	ALT_DRER_TU_1
region3	1	10319490	10667228	alt-scaffold	KZ114999.1	NW_018394462.1	ALT_DRER_TU_1
region4	1	10976198	11297774	alt-scaffold	KZ115000.1	NW_018394463.1	ALT_DRER_TU_1
region5	1	12342304	12627630	alt-scaffold	KZ115001.1	NW_018394464.1	ALT_DRER_TU_1
region6	1	13792470	14107284	alt-scaffold	KZ115002.1	NW_018394465.1	ALT_DRER_TU_1
region8	1	14475240	15035646	alt-scaffold	KZ115003.1	NW_018394466.1	ALT_DRER_TU_1
region8	1	14475240	15035646	alt-scaffold	KZ115004.1	NW_018394467.1	ALT_DRER_TU_1
region9	1	16355719	16660026	alt-scaffold	KZ115005.1	NW_018394468.1	ALT_DRER_TU_1
region10	1	16762688	17115488	alt-scaffold	KZ115006.1	NW_018394469.1	ALT_DRER_TU_1
region11	1	17183648	17588181	alt-scaffold	KZ115007.1	NW_018394470.1	ALT_DRER_TU_1
region13	1	17650639	18785057	alt-scaffold	KZ115008.1	NW_018394471.1	ALT_DRER_TU_1
region13	1	17650639	18785057	alt-scaffold	KZ115009.1	NW_018394472.1	ALT_DRER_TU_1
region13	1	17650639	18785057	alt-scaffold	KZ115010.1	NW_018394473.1	ALT_DRER_TU_1
region13	1	17650639	18785057	alt-scaffold	KZ114834.1	NW_018395209.1	ALT_DRER_TU_2
region17	1	19462817	21697012	alt-scaffold	KZ115011.1	NW_018394474.1	ALT_DRER_TU_1
region17	1	19462817	21697012	alt-scaffold	KZ115012.1	NW_018394475.1	ALT_DRER_TU_1
region17	1	19462817	21697012	alt-scaffold	KZ115013.1	NW_018394476.1	ALT_DRER_TU_1
region17	1	19462817	21697012	alt-scaffold	KZ115014.1	NW_018394477.1	ALT_DRER_TU_1
region17	1	19462817	21697012	alt-scaffold	KZ115015.1	NW_018394478.1	ALT_DRER_TU_1
region17	1	19462817	21697012	alt-scaffold	KZ114835.1	NW_018395210.1	ALT_DRER_TU_2
region17	1	19462817	21697012	alt-scaffold	KZ114836.1	NW_018395211.1	ALT_DRER_TU_2
region17	1	19462817	21697012	alt-scaffold	KZ115746.1	NW_018395372.1	ALT_DRER_TU_3
region18	1	21892032	22648230	alt-scaffold	KZ115016.1	NW_018394479.1	ALT_DRER_TU_1
region18	1	21892032	22648230	alt-scaffold	KZ114837.1	NW_018395212.1	ALT_DRER_TU_2
region18	1	21892032	22648230	alt-scaffold	KZ114838.1	NW_018395213.1	ALT_DRER_TU_2
region19	1	22666465	22871466	alt-scaffold	KZ115017.1	NW_018394480.1	ALT_DRER_TU_1
region19	1	22666465	22871466	alt-scaffold	KZ114839.1	NW_018395214.1	ALT_DRER_TU_2
region20	1	23264531	23856121	alt-scaffold	KZ115018.1	NW_018394481.1	ALT_DRER_TU_1
region20	1	23264531	23856121	alt-scaffold	KZ114840.1	NW_018395215.1	ALT_DRER_TU_2
region20	1	23264531	23856121	alt-scaffold	KZ115747.1	NW_018395373.1	ALT_DRER_TU_3
region21	1	24125749	25133622	alt-scaffold	KZ115019.1	NW_018394482.1	ALT_DRER_TU_1
region21	1	24125749	25133622	alt-scaffold	KZ115020.1	NW_018394483.1	ALT_DRER_TU_1
region21	1	24125749	25133622	alt-scaffold	KZ114841.1	NW_018395216.1	ALT_DRER_TU_2
region22	1	25369946	25856241	alt-scaffold	KZ115021.1	NW_018394484.1	ALT_DRER_TU_1
region23	1	26840996	27188595	alt-scaffold	KZ115022.1	NW_018394485.1	ALT_DRER_TU_1
region23	1	26840996	27188595	alt-scaffold	KZ114842.1	NW_018395217.1	ALT_DRER_TU_2
region24	1	27456605	27797026	alt-scaffold	KZ115023.1	NW_018394486.1	ALT_DRER_TU_1
region25	1	28166906	28475203	alt-scaffold	KZ115024.1	NW_018394487.1	ALT_DRER_TU_1
region26	1	28913013	29143046	alt-scaffold	KZ115025.1	NW_018394488.1	ALT_DRER_TU_1
region30	1	29581513	30843828	alt-scaffold	KZ115026.1	NW_018394489.1	ALT_DRER_TU_1
