# Assembly name:  ARS-UCD1.2
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Isolate:  L1 Dominette 01449 registration number 42190680
# Sex:  female
# Taxid:          9913
# BioSample:      SAMN03145444
# BioProject:     PRJNA391427
# Submitter:      USDA ARS
# Date:           2018-04-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NKLS02
# Assembly method: Falcon v. FEB-2016
# Expected final version: yes
# Reference guided assembly: de-novo
# Genome coverage: 80.0x
# Sequencing technology: PacBio; Illumina NextSeq 500; Illumina HiSeq; Illumina GAII
# GenBank assembly accession: GCA_002263795.2
# RefSeq assembly accession: GCF_002263795.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002263805.2	GCF_002263805.1	Primary Assembly
## GCA_002263815.2	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM008168.2	=	NC_037328.1	Primary Assembly	158534110	na
2	assembled-molecule	2	Chromosome	CM008169.2	=	NC_037329.1	Primary Assembly	136231102	na
3	assembled-molecule	3	Chromosome	CM008170.2	=	NC_037330.1	Primary Assembly	121005158	na
4	assembled-molecule	4	Chromosome	CM008171.2	=	NC_037331.1	Primary Assembly	120000601	na
5	assembled-molecule	5	Chromosome	CM008172.2	=	NC_037332.1	Primary Assembly	120089316	na
6	assembled-molecule	6	Chromosome	CM008173.2	=	NC_037333.1	Primary Assembly	117806340	na
7	assembled-molecule	7	Chromosome	CM008174.2	=	NC_037334.1	Primary Assembly	110682743	na
8	assembled-molecule	8	Chromosome	CM008175.2	=	NC_037335.1	Primary Assembly	113319770	na
9	assembled-molecule	9	Chromosome	CM008176.2	=	NC_037336.1	Primary Assembly	105454467	na
10	assembled-molecule	10	Chromosome	CM008177.2	=	NC_037337.1	Primary Assembly	103308737	na
11	assembled-molecule	11	Chromosome	CM008178.2	=	NC_037338.1	Primary Assembly	106982474	na
12	assembled-molecule	12	Chromosome	CM008179.2	=	NC_037339.1	Primary Assembly	87216183	na
13	assembled-molecule	13	Chromosome	CM008180.2	=	NC_037340.1	Primary Assembly	83472345	na
14	assembled-molecule	14	Chromosome	CM008181.2	=	NC_037341.1	Primary Assembly	82403003	na
15	assembled-molecule	15	Chromosome	CM008182.2	=	NC_037342.1	Primary Assembly	85007780	na
16	assembled-molecule	16	Chromosome	CM008183.2	=	NC_037343.1	Primary Assembly	81013979	na
17	assembled-molecule	17	Chromosome	CM008184.2	=	NC_037344.1	Primary Assembly	73167244	na
18	assembled-molecule	18	Chromosome	CM008185.2	=	NC_037345.1	Primary Assembly	65820629	na
19	assembled-molecule	19	Chromosome	CM008186.2	=	NC_037346.1	Primary Assembly	63449741	na
20	assembled-molecule	20	Chromosome	CM008187.2	=	NC_037347.1	Primary Assembly	71974595	na
21	assembled-molecule	21	Chromosome	CM008188.2	=	NC_037348.1	Primary Assembly	69862954	na
22	assembled-molecule	22	Chromosome	CM008189.2	=	NC_037349.1	Primary Assembly	60773035	na
23	assembled-molecule	23	Chromosome	CM008190.2	=	NC_037350.1	Primary Assembly	52498615	na
24	assembled-molecule	24	Chromosome	CM008191.2	=	NC_037351.1	Primary Assembly	62317253	na
25	assembled-molecule	25	Chromosome	CM008192.2	=	NC_037352.1	Primary Assembly	42350435	na
26	assembled-molecule	26	Chromosome	CM008193.2	=	NC_037353.1	Primary Assembly	51992305	na
27	assembled-molecule	27	Chromosome	CM008194.2	=	NC_037354.1	Primary Assembly	45612108	na
28	assembled-molecule	28	Chromosome	CM008195.2	=	NC_037355.1	Primary Assembly	45940150	na
29	assembled-molecule	29	Chromosome	CM008196.2	=	NC_037356.1	Primary Assembly	51098607	na
