# Assembly name:  Cliv_1.0
# Organism name:  Columba livia (rock pigeon)
# Infraspecific name:  breed=Danish Tumbler
# Sex:  male
# Taxid:          8932
# BioSample:      SAMN02981415
# BioProject:     PRJNA167554
# Submitter:      BGI
# Date:           2013-02-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AKCR01
# Assembly method: SOAPdenovo v. 2.0
# Genome coverage: 60x
# Sequencing technology: Illumina HiSeq 2000
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000337935.1
# RefSeq assembly accession: GCF_000337935.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000337945.1	GCF_000337945.1	Primary Assembly
## 	GCF_000090015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold4	unplaced-scaffold	na	na	KB375286.1	=	NW_004973171.1	Primary Assembly	1524	na
scaffold12	unplaced-scaffold	na	na	KB375287.1	=	NW_004973172.1	Primary Assembly	56895	na
scaffold2	unplaced-scaffold	na	na	KB375288.1	=	NW_004973173.1	Primary Assembly	370030	na
scaffold11	unplaced-scaffold	na	na	KB375289.1	=	NW_004973174.1	Primary Assembly	5209	na
scaffold18	unplaced-scaffold	na	na	KB375290.1	=	NW_004973175.1	Primary Assembly	1650590	na
scaffold19	unplaced-scaffold	na	na	KB375291.1	=	NW_004973176.1	Primary Assembly	1248302	na
scaffold3	unplaced-scaffold	na	na	KB375292.1	=	NW_004973177.1	Primary Assembly	2960069	na
scaffold14	unplaced-scaffold	na	na	KB375293.1	=	NW_004973178.1	Primary Assembly	953542	na
scaffold21	unplaced-scaffold	na	na	KB375294.1	=	NW_004973179.1	Primary Assembly	3543431	na
scaffold24	unplaced-scaffold	na	na	KB375295.1	=	NW_004973180.1	Primary Assembly	2011765	na
scaffold13	unplaced-scaffold	na	na	KB375296.1	=	NW_004973181.1	Primary Assembly	3007045	na
scaffold20	unplaced-scaffold	na	na	KB375297.1	=	NW_004973182.1	Primary Assembly	7699506	na
scaffold23	unplaced-scaffold	na	na	KB375298.1	=	NW_004973183.1	Primary Assembly	1104058	na
scaffold26	unplaced-scaffold	na	na	KB375299.1	=	NW_004973184.1	Primary Assembly	2407036	na
scaffold25	unplaced-scaffold	na	na	KB375300.1	=	NW_004973185.1	Primary Assembly	1158700	na
scaffold29	unplaced-scaffold	na	na	KB375301.1	=	NW_004973186.1	Primary Assembly	671617	na
scaffold5	unplaced-scaffold	na	na	KB375302.1	=	NW_004973187.1	Primary Assembly	4670215	na
scaffold28	unplaced-scaffold	na	na	KB375303.1	=	NW_004973188.1	Primary Assembly	3263358	na
scaffold30	unplaced-scaffold	na	na	KB375304.1	=	NW_004973189.1	Primary Assembly	1833585	na
scaffold32	unplaced-scaffold	na	na	KB375305.1	=	NW_004973190.1	Primary Assembly	6593694	na
scaffold35	unplaced-scaffold	na	na	KB375306.1	=	NW_004973191.1	Primary Assembly	1409055	na
scaffold7	unplaced-scaffold	na	na	KB375307.1	=	NW_004973192.1	Primary Assembly	18182690	na
scaffold33	unplaced-scaffold	na	na	KB375308.1	=	NW_004973193.1	Primary Assembly	1585534	na
