# Assembly name:  Mmul_10
# Organism name:  Macaca mulatta (Rhesus monkey)
# Taxid:          9544
# BioSample:      SAMN09435472
# BioProject:     PRJNA476474
# Submitter:      The Genome Institute at Washington University School of Medicine
# Date:           2019-02-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QNVO02
# GenBank assembly accession: GCA_003339765.3
# RefSeq assembly accession: GCF_003339765.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003339795.3	GCF_003339795.1	Primary Assembly
## 	GCF_000005875.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1	assembled-molecule	1	Chromosome	CM014336.1	=	NC_041754.1	Primary Assembly	223616942	na
chr2	assembled-molecule	2	Chromosome	CM014337.1	=	NC_041755.1	Primary Assembly	196197964	na
chr3	assembled-molecule	3	Chromosome	CM014338.1	=	NC_041756.1	Primary Assembly	185288947	na
chr4	assembled-molecule	4	Chromosome	CM014339.1	=	NC_041757.1	Primary Assembly	169963040	na
chr5	assembled-molecule	5	Chromosome	CM014340.1	=	NC_041758.1	Primary Assembly	187317192	na
chr6	assembled-molecule	6	Chromosome	CM014341.1	=	NC_041759.1	Primary Assembly	179085566	na
chr7	assembled-molecule	7	Chromosome	CM014342.1	=	NC_041760.1	Primary Assembly	169868564	na
chr8	assembled-molecule	8	Chromosome	CM014343.1	=	NC_041761.1	Primary Assembly	145679320	na
chr9	assembled-molecule	9	Chromosome	CM014344.1	=	NC_041762.1	Primary Assembly	134124166	na
chr10	assembled-molecule	10	Chromosome	CM014345.1	=	NC_041763.1	Primary Assembly	99517758	na
