# Assembly name:  OryCun2.0
# Organism name:  Oryctolagus cuniculus (rabbit)
# Infraspecific name:  breed=Thorbecke inbred
# Sex:  female
# Taxid:          9986
# BioSample:      SAMN02953624
# BioProject:     PRJNA12819
# Submitter:      The Broad Institute of MIT and Harvard
# Date:           2009-10-20
# Synonyms:       oryCun2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAGW02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000003625.1
# RefSeq assembly accession: GCF_000003625.3
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000003635.1	GCF_000003635.2	Primary Assembly
## 	GCF_000004745.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM000790.1	=	NC_013669.1	Primary Assembly	194850757	chr1
2	assembled-molecule	2	Chromosome	CM000791.1	=	NC_013670.1	Primary Assembly	174332312	chr2
3	assembled-molecule	3	Chromosome	CM000792.1	=	NC_013671.1	Primary Assembly	155691105	chr3
4	assembled-molecule	4	Chromosome	CM000793.1	=	NC_013672.1	Primary Assembly	91394100	chr4
5	assembled-molecule	5	Chromosome	CM000794.1	=	NC_013673.1	Primary Assembly	37992211	chr5
6	assembled-molecule	6	Chromosome	CM000795.1	=	NC_013674.1	Primary Assembly	27502587	chr6
7	assembled-molecule	7	Chromosome	CM000796.1	=	NC_013675.1	Primary Assembly	173684459	chr7
8	assembled-molecule	8	Chromosome	CM000797.1	=	NC_013676.1	Primary Assembly	111795807	chr8
9	assembled-molecule	9	Chromosome	CM000798.1	=	NC_013677.1	Primary Assembly	116251907	chr9
10	assembled-molecule	10	Chromosome	CM000799.1	=	NC_013678.1	Primary Assembly	47997241	chr10
11	assembled-molecule	11	Chromosome	CM000800.1	=	NC_013679.1	Primary Assembly	87554214	chr11
12	assembled-molecule	12	Chromosome	CM000801.1	=	NC_013680.1	Primary Assembly	155355395	chr12
13	assembled-molecule	13	Chromosome	CM000802.1	=	NC_013681.1	Primary Assembly	143360832	chr13
14	assembled-molecule	14	Chromosome	CM000803.1	=	NC_013682.1	Primary Assembly	163896628	chr14
15	assembled-molecule	15	Chromosome	CM000804.1	=	NC_013683.1	Primary Assembly	109054052	chr15
16	assembled-molecule	16	Chromosome	CM000805.1	=	NC_013684.1	Primary Assembly	84478945	chr16
17	assembled-molecule	17	Chromosome	CM000806.1	=	NC_013685.1	Primary Assembly	85008467	chr17
18	assembled-molecule	18	Chromosome	CM000807.1	=	NC_013686.1	Primary Assembly	69800736	chr18
19	assembled-molecule	19	Chromosome	CM000808.1	=	NC_013687.1	Primary Assembly	57279966	chr19
20	assembled-molecule	20	Chromosome	CM000809.1	=	NC_013688.1	Primary Assembly	33191332	chr20
21	assembled-molecule	21	Chromosome	CM000810.1	=	NC_013689.1	Primary Assembly	15578276	chr21
X	assembled-molecule	X	Chromosome	CM000811.1	=	NC_013690.1	Primary Assembly	111700775	chrX
chrUn0282	unplaced-scaffold	na	na	AAGW02076170.1	=	NW_003159606.1	Primary Assembly	288718	chrUn0282
chrUn0346	unplaced-scaffold	na	na	AAGW02077230.1	=	NW_003159670.1	Primary Assembly	216051	chrUn0346
chrUn0403	unplaced-scaffold	na	na	AAGW02077833.1	=	NW_003159727.1	Primary Assembly	166872	chrUn0403
chrUn0438	unplaced-scaffold	na	na	AAGW02078230.1	=	NW_003159762.1	Primary Assembly	141946	chrUn0438
chrUn0467	unplaced-scaffold	na	na	AAGW02078537.1	=	NW_003159791.1	Primary Assembly	132808	chrUn0467
chrUn0497	unplaced-scaffold	na	na	AAGW02078775.1	=	NW_003159821.1	Primary Assembly	117269	chrUn0497
chrUn0525	unplaced-scaffold	na	na	AAGW02078982.1	=	NW_003159849.1	Primary Assembly	106498	chrUn0525
chrUn0543	unplaced-scaffold	na	na	AAGW02079106.1	=	NW_003159867.1	Primary Assembly	101026	chrUn0543
chrUn0551	unplaced-scaffold	na	na	AAGW02079147.1	=	NW_003159875.1	Primary Assembly	97990	chrUn0551
chrUn0557	unplaced-scaffold	na	na	AAGW02079168.1	=	NW_003159881.1	Primary Assembly	96988	chrUn0557
chrUn0560	unplaced-scaffold	na	na	AAGW02079180.1	=	NW_003159884.1	Primary Assembly	96534	chrUn0560
chrUn0561	unplaced-scaffold	na	na	AAGW02079181.1	=	NW_003159885.1	Primary Assembly	96430	chrUn0561
chrUn0562	unplaced-scaffold	na	na	AAGW02079182.1	=	NW_003159886.1	Primary Assembly	96397	chrUn0562
chrUn0567	unplaced-scaffold	na	na	AAGW02079214.1	=	NW_003159891.1	Primary Assembly	95320	chrUn0567
chrUn0572	unplaced-scaffold	na	na	AAGW02079242.1	=	NW_003159896.1	Primary Assembly	94623	chrUn0572
chrUn0583	unplaced-scaffold	na	na	AAGW02079307.1	=	NW_003159907.1	Primary Assembly	91682	chrUn0583
chrUn0586	unplaced-scaffold	na	na	AAGW02079327.1	=	NW_003159910.1	Primary Assembly	90731	chrUn0586
chrUn0593	unplaced-scaffold	na	na	AAGW02079371.1	=	NW_003159917.1	Primary Assembly	87874	chrUn0593
chrUn0607	unplaced-scaffold	na	na	AAGW02079457.1	=	NW_003159931.1	Primary Assembly	84855	chrUn0607
chrUn0609	unplaced-scaffold	na	na	AAGW02079465.1	=	NW_003159933.1	Primary Assembly	84784	chrUn0609
chrUn0611	unplaced-scaffold	na	na	AAGW02079469.1	=	NW_003159935.1	Primary Assembly	84615	chrUn0611
chrUn0618	unplaced-scaffold	na	na	AAGW02079515.1	=	NW_003159942.1	Primary Assembly	82703	chrUn0618
chrUn0631	unplaced-scaffold	na	na	AAGW02079587.1	=	NW_003159955.1	Primary Assembly	80569	chrUn0631
chrUn0632	unplaced-scaffold	na	na	AAGW02079588.1	=	NW_003159956.1	Primary Assembly	80385	chrUn0632
chrUn0645	unplaced-scaffold	na	na	AAGW02079656.1	=	NW_003159969.1	Primary Assembly	76610	chrUn0645
chrUn0646	unplaced-scaffold	na	na	AAGW02079657.1	=	NW_003159970.1	Primary Assembly	76569	chrUn0646
chrUn0647	unplaced-scaffold	na	na	AAGW02079658.1	=	NW_003159971.1	Primary Assembly	76562	chrUn0647
chrUn0650	unplaced-scaffold	na	na	AAGW02079667.1	=	NW_003159974.1	Primary Assembly	76328	chrUn0650
